"auth.name","2016","2017","2018","2019","2020","change","change.4","prop.income"
"Cardiff",3940.961,4764.262,-4448.158,-3991.422,2267.439,-156.807799325654,-12.9069762761937,66.2809358330664
"Carmarthenshire",1764.262,2114.892,-957.179,-760.733,1171.791,-254.034464128676,-9.72411190915807,120.683880575802
"Neath Port Talbot",1256.294,1331.721,-172.614,-262.76,1091.855,-515.5331861775,-3.44641126659392,265.339227303436
"Caerphilly",657.84,550.429,301.865,-17.45884,639.318,-3761.85840525487,-0.711451056165646,376.725357092349
"Flintshire",725.8859,678.484,-321.412,-361.494,585.473,-261.95925796832,-5.23245551510372,1278.74413017364
"Wrexham",838.0524,812.1624,-402.687,-444.9608,581.0129,-230.576199071918,-8.75088727771337,513.261372329731
"Ceredigion",588.608,567.214,-486.015,-619.4137,489.415,-179.012621128658,-4.50892579978589,322.711777234153
"Bridgend",832.518,888.598,-204.34,-323.807,434.992,-234.336811742797,-14.9798416691835,64.6238230076926
"Rhondda Cynon Taf",790.796,905.616,-69.144,-374.724,425.922,-213.662855861914,-14.3324390362902,45.505362282608
"Denbighshire",1052.634,1052.62,-445.238,-406.5202,389.9735,-195.929673359405,-21.9829677781576,59.7764790242344
"Blaenau Gwent",866.175,483.275,323.1569,379.2382,316.401,-16.5693223942103,-22.2575808484273,1054.67
"Torfaen",87,82,115,302,241,-20.1986754966888,29.0103185209311,321.333333333333
"Pembrokeshire",1270,1319,-803,-759,182,-123.978919631094,-38.472833259486,16.25
"Powys",789,821.52,-860.117,-882.75,152.5052,-117.276148399887,-33.6941400116933,21.1572202552459
"Newport",633.041,285.733,-181.212,-311.91,127.309,-140.815940495656,-33.0336209116446,25.3758772795315
"Monmouthshire",593.581,670.785,-778.198,-676.182,115.706,-117.111665202564,-33.5539800502428,18.757284890064
"Merthyr Tydfil",504.046,510.397,-279.725,-279.157,100.087,-135.853301188937,-33.2460644902106,34.2638142872304
"Isle of Anglesey",358,351,-303,-273,92,-133.699633699634,-28.8006219127479,34.9809885931559
"Vale of Glamorgan",632,686,-101,-108,73,-167.592592592593,-41.7022967192871,11.6242038216561
"Conwy",915.938,954.178,-1168.698,-1233.072,51.488,-104.175587475833,-51.3077339488742,5.07203475399824
"Swansea",3199,3086.619,-3280.923,-2607.755,-10.122,-99.6118500395934,NA,-0.372820151293821
"Gwynedd",1135,1157,-1562,-1389,-298,-78.5457163426926,NA,-19.7743861977439
"Total",23430.6323,24073.5054,-16084.6381,-15401.88134,9220.5656,-159.86648901166,-20.7966796617581,54.143621097385
