"auth.name","2016","2017","2018","2019","2020","change","change.4"
"Cardiff",7598.742,8629.129,9739.051,9550.705,3420.952,-64.1811573072354,-18.0872850996871
"Swansea",5666,5931.514,6978.206,6441.135,2714.982,-57.8493231394777,-16.8001398847692
"Gwynedd",2490,2539,2697,2699,1507,-44.1645053723601,-11.7979911985504
"Pembrokeshire",1867,1916,2173,2065,1120,-45.7627118644068,-11.9927549524606
"Conwy",1935.267,1903.485,2226.772,2391.333,1015.135,-57.5494086352674,-14.8968319073393
"Carmarthenshire",3091.909,3035.068,2882.176,2709.112,970.959,-64.1595105702533,-25.1410817481703
"Rhondda Cynon Taf",1321.516,1089.778,1323.964,1764.012,935.982,-46.9401568696812,-8.26210560664997
"Powys",1684,1652.771,1682.738,1741.167,720.8187,-58.6014035414179,-19.1144413379676
"Bridgend",1127.487,1138.637,1211.064,1712.138,673.114,-60.6857624794263,-12.0989080577046
"Denbighshire",1710.687,1516.686,1514.699,1584.92,652.3862,-58.8379097998637,-21.4161046518704
"Vale of Glamorgan",764,737,807,738,628,-14.9051490514905,-4.78254457318146
"Monmouthshire",1522.203,1534.746,1445.502,1491.96,616.859,-58.6544545430172,-20.2136986460169
"Newport",642.502,591.316,649.2,636.542,501.693,-21.1846193966777,-5.9971784513295
"Neath Port Talbot",1374.55,1499.981,1652.472,1721.945,411.494,-76.1029533463612,-26.0308307347605
"Merthyr Tydfil",607.813,725.231,683.738,696.613,292.107,-58.0675353460243,-16.738736904607
"Isle of Anglesey",605,639,682,599,263,-56.093489148581,-18.801109805012
"Caerphilly",675,641.423,688.405,1041.068,169.704,-83.6990475165887,-29.1895952949958
"Ceredigion",1108.664,1055.016,1058.19,1258.601,151.657,-87.9503512233027,-39.1843113594494
"Wrexham",974.097,1112.864,1067.222,1091.644,113.2002,-89.6303007207478,-41.613660656276
"Torfaen",15,4,6,108,75,-30.5555555555556,49.5348781221221
"Flintshire",598.6638,570.91,721.118,925.431,45.785,-95.0525755026577,-47.4121936364062
"Blaenau Gwent",30,30.211,39.5,30,30,0,0
"Total",37410.1008,38493.766,41929.017,42997.326,17029.8281,-60.3932856196685,-17.8598774534484
