"rowname","2016","2017","2018","2019","2020","change"
"income.total",37.4101008,38.493766,41.929017,42.997326,17.0298281,-60.3932856196685
"expend.total",23.4306323,24.0735054,25.8443789,27.595445,26.2503941,-4.87417724193249
"surplus.total",13.9794685,14.4202606,16.0846381,15.401881,-9.220566,-159.866492930312
"transport.total",270.500309,265.292941,267.073891,270.525032,310.384693,14.7341858553037
"surplus.of.transport",5.16800463248269,5.43559905727005,6.02254231582675,5.69332933301344,-2.97068966606546,-152.17842658143
