"auth.name","2016","2017","2018","2019","2020","transport.total"
"Swansea",2467,2844.895,10259.129,9048.89,2725.104,22654.43
"Gwynedd",1355,1382,4259,4088,1805,17203
"Cardiff",3657.781,3864.867,14187.209,13542.127,1153.513,34205.11
"Conwy",1019.329,949.307,3395.47,3624.405,963.647,10553.7
"Pembrokeshire",597,597,2976,2824,938,12655
"Powys",895,831.251,2542.855,2623.917,568.3135,17821.53
"Vale of Glamorgan",132,51,908,846,555,10133.19
"Rhondda Cynon Taf",530.72,184.162,1393.108,2138.736,510.06,17988.71
"Monmouthshire",928.622,863.961,2223.7,2168.142,501.153,7194.996
"Newport",9.4609999999999,305.583,830.412,948.452,374.384,15317.71
"Denbighshire",658.053,464.066,1959.937,1991.4402,262.4127,10194.46
"Bridgend",294.969,250.039,1415.404,2035.945,238.122,13048.94
"Merthyr Tydfil",103.767,214.834,963.463,975.77,192.02,5477.896
"Isle of Anglesey",247,288,985,872,171,10621
"Torfaen",-72,-78,-109,-194,-166,8729
"Carmarthenshire",1327.647,920.176,3839.355,3469.845,-200.832,17867.49
"Blaenau Gwent",-836.175,-453.064,-283.6569,-349.2382,-286.401,5796.187
"Ceredigion",520.056,487.802,1544.205,1878.0147,-337.758,11360.93
"Wrexham",136.0446,300.7016,1469.909,1536.6048,-467.8127,9843.614
"Caerphilly",17.16,90.994,386.54,1058.52684,-469.614,16823.49
"Flintshire",-127.2221,-107.574,1042.53,1286.925,-539.688,18824.35
"Neath Port Talbot",118.256,168.26,1825.086,1984.705,-680.361,16069.96
