"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2019-20)","(2019-20)","(2019-20)","(2018-19)","(2018-19)"
"Parking income","1004.76800"," 726.69300","  92.82894","  41.92902","1822.81453"
"Parking expenditure","559.87100","281.56500"," 43.54058"," 25.84438","850.04061"
"Surplus","444.89700","445.12800"," 49.28836"," 16.08464","972.77392"
"Surplus as proportion of income","44.27858","61.25393","53.09590","38.36159","53.36659"
