"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2021-22)","(2020-21)","(2021-22)","(2021-22)","(2021-22)"
"Parking income"," 16.64500","590.19700"," 78.52600"," 36.94306","132.11406"
"Parking expenditure"," 11.274000","286.215000"," 47.391000"," -8.412915"," 50.252085"
"Surplus","  5.37100","303.98200"," 31.13500"," 45.35597"," 81.86197"
"Surplus as proportion of income"," 32.26795"," 51.50518"," 39.64929","122.77265"," 61.96311"
