"auth.name","2016","2017","2018","2019","2020","change","change.4","prop.income"
"Ealing",19.2,17.703,17.182,17.43,21.286,22.122776821572,2.61201294681872,90.4401767505099
"Lambeth",14.696,9.26371385,16.337,18.596,19.221,3.3609378360938,6.94099212126154,56.4874952243806
"Westminster",15.009242325,31.24659359,17.37773284,4.82,17.99,273.236514522822,4.63286051831404,26.7088306906586
"Hammersmith & Fulham",12.344,12.915,13.243,13.603,15.183,11.615084907741,5.31140811525639,51.8067355921793
"Camden",13.22430207,16.77,13.517,15.06,13.678,-9.17662682602921,0.846878393146411,39.4599428785737
"Haringey",11.2693456207435,10.6838735078249,10.75627,12.788,12.668,-0.938379730997823,2.96801463934733,67.5230531421566
"Hackney",12.329,11.997,12.88,12.915,12.477,-3.39140534262484,0.298763875895847,36.9491826581379
"Kensington & Chelsea",12.531,12.269,12.4,13.747,12.267,-10.7659853058849,-0.53090678521226,31.4433650321688
"Islington",13.465,12.353,12.899,11.231,11.644,3.67732169886921,-3.56738146847626,37.591606133979
"Waltham Forest",8.626,9.562,10.205,12.024,10.664,-11.3107119095143,5.44540777632725,63.1678711053193
"Newham",9.1583,6.329,9.407,12.444,10.62,-14.6576663452266,3.77133712021378,50.8864398658361
"Brent",9.76,9.228,9.94647184873719,9.072,10.03,10.5599647266314,0.684537358012038,58.1314477802249
"Barnet",8.592,9.73233223768757,7.87730403,10.658,9.732,-8.68830925126666,3.16371142969922,68.3907238229093
"Southwark",7.836,8.322,9.301,8.861,8.707,-1.7379528269947,2.66999226055746,55.1041073349788
"Tower Hamlets",9.039,8.66052631,8.542,8.269,8.114,-1.8744709154674,-2.66284369061246,41.315749274403
"City of London",5.426,9.671,9.535,11.879,7.879,-33.6728680865393,9.77357996494561,45.7283807312826
"Richmond upon Thames",5.242,5.7,6.967,7.543,7.73,2.47911971364178,10.1972151372462,61.9937444863261
"Wandsworth",9.557,7.707,7.967,8.195,7.659,-6.5405735204393,-5.38442764441815,24.854778516956
"Bromley",5.097,3.532,3.77,4.911,7.406,50.8043168397475,9.79113342564149,92.6213106553277
"Croydon",7.05599136,6.44259711,7.57202478,8.019,7.137,-10.9988776655443,0.285793256868327,43.3701993193972
"Merton",5.712,6.137,6.491,6.176,6.192,0.259067357512947,2.03770622035833,46.6194850173167
"Hounslow",1.132,0.603,1.024,5.706,5.223,-8.46477392218719,46.5609933109175,51.3367407116178
"Havering",5.015,6.64,6.961,7.29,5.106,-29.9588477366255,0.450584528135645,84.8877805486284
"Harrow",4.7869181912,4.938344336,4.704599671,5.251,4.999,-4.79908588840222,1.0896709333893,65.8977063010809
"Redbridge",4.901,4.18,5.369,4.957,4.978,0.423643332660873,0.390483859799184,58.8207491433298
"Kingston upon Thames",5.144,4.317,5.30384243,5.098,4.895,-3.98195370733622,-1.23275630335148,78.219878555449
"Hillingdon",4.873,4.84468328,4.957,4.874,4.891,0.348789495281096,0.0922179370127063,114.115725618292
"Barking & Dagenham",3.254,3.534,3.924,4.188,4.429,5.75453677172877,8.01200626050496,43.7907850504252
"Enfield",4.5928287151219,7.120843587,5.729,4.745,4.408,-7.10221285563752,-1.02162163414695,97.071129707113
"Greenwich",5.496,4.994,5.55,6.076,3.788,-37.6563528637261,-8.88480445324009,59.9936648717136
"Bexley",2.868,2.533,2.466,1.881,2.615,39.0217969165338,-2.28232245496738,169.695003244646
"Lewisham",2.486,2.973,2.40560639,2.265,1.615,-28.6975717439294,-10.2224290969405,17.005370116879
"Sutton",0.8,0.854,0.974,0.993,0.984,-0.90634441087613,5.31161619882878,91.2801484230056
"Total for London",260.517928282065,273.756507808512,273.540851989737,281.565,286.215,1.65148367162111,2.37966253252544,48.4948246094101
"Total for rest of England",448.904910520573,459.535505430868,489.020583002614,549.003,507.034,-7.64458482011939,3.09098320675141,97.0706538907023
"Total for all of England",709.422838802639,733.292013239381,762.561434992351,830.568,793.249,-4.49319020236754,2.83148128859976,71.3012299870925
