"collapsed","variable","london","rest","total","prop"
"Income","On-street","569","213","782","72.8\%"
"Income","Off-street","21","309","331"," 6.4\%"
"Income","Total","590","522","1,113","53.0\%"
"Expenditure","On-street","262","191","453","57.9\%"
"Expenditure","Off-street","24","316","341"," 7.1\%"
"Expenditure","Total","286","507","793","36.1\%"
"Surplus","On-street","307","22","329","93.2\%"
"Surplus","Off-street","-3","-7","-10","31.1\%"
"Surplus","Total","304","15","319","95.2\%"
