"country","England without London","London","Scotland","Wales","Great Britain"
"Most recent year available","(2020-21)","(2020-21)","(2020-21)","(2020-21)","(2020-21)"
"Average annual change in income","-11.611625"," -1.965378","-15.179870","-17.859877"," -7.703413"
"Change in income since previous year","-47.33866","-18.78317","-53.95617","-60.39329","-36.81211"
"Average annual change in expenditure","  3.090840","  2.379663","  2.815295","-20.796680","  2.322837"
"Change in expenditure since previous year","  -7.712334","   1.651484","   2.587066","-159.866489","  -1.404045"
"Average annual change in surplus","-55.046654"," -5.330555",NA,"-13.547045","-21.157530"
"Change in surplus since previous year"," -96.24616"," -31.70908","-103.90559"," -86.62779"," -67.30883"
