"auth.name","2016","2017","2018","2019","2020","change","change.4"
"Westminster",88.20034234,88.82898869,86.56894332,74.434,67.356,-9.5090953059086,-6.51832092972225
"Kensington & Chelsea",44.705,46.736,49.741,52.586,39.013,-25.8110523713536,-3.34745099014403
"Camden",39.97550151,36.369,39.494,44.049,34.663,-21.3080887193807,-3.50205682759948
"Lambeth",26.61946343,21.406276,33.31,35.254,34.027,-3.48045611845464,6.33006784665167
"Hackney",26.834,27.61,28.416,28.458,33.768,18.6590765338394,5.9143928365518
"Islington",32.576,32.867,36.081,37.84,30.975,-18.142177589852,-1.25198151207161
"Wandsworth",30.063,31.923,34.315,36.582,30.815,-15.7645836750314,0.6195715702489
"Hammersmith & Fulham",35.421,36.732,39.309,39.14,29.307,-25.1226366888094,-4.626518446618
"Ealing",18.563,24.514,29.971,21.377,23.536,10.0996397997848,6.11361809547661
"Newham",18.044648,25.306,23.697,22.369,20.87,-6.70123832089051,3.70352256692825
"Tower Hamlets",18.543,19.25134432,20.2527,20.568,19.639,-4.51672500972386,1.4459802413991
"Haringey",25.904426542,27.52468868,28.37146,32.469,18.761,-42.2187317133266,-7.74912370682553
"Brent",20.294,21.098,20.942,21.589,17.254,-20.0796702024179,-3.97583609030847
"City of London",11.975,24.054,23.421,22.559,17.23,-23.6225009973846,9.52227057231094
"Waltham Forest",13.776,16.404,19.684,21.126,16.882,-20.088989870302,5.21440182986219
"Croydon",13.75875639,14.14129999,18.20724778,20.532,16.456,-19.8519384375609,4.5770229498143
"Southwark",14.712,15.213,14.814,15.31,15.801,3.20705421293272,1.801274273035
"Barnet",17.235,20.42211325,21.57278653,22.879,14.23,-37.8032256654574,-4.67684611492687
"Merton",15.939,18.416,18.665,18.398,13.282,-27.8073703663442,-4.45661994790497
"Richmond upon Thames",13.504,15.515,15.57,16.059,12.469,-22.3550656952488,-1.97377033238759
"Hounslow",13.104,12.846,14.071,13.501,10.174,-24.6426190652544,-6.13104951126731
"Barking & Dagenham",6.374,6.814,8.648,8.846,10.114,14.334162333258,12.2348479497642
"Lewisham",7.9,8.979,9.92015001,8.161,9.497,16.3705428256341,4.71040435265284
"Redbridge",10.224,11.673,12.534,11.092,8.463,-23.7017670393076,-4.61592443223853
"Bromley",11.22,9.728,10.1,11.353,7.996,-29.5692768431252,-8.12021249034595
"Harrow",13.3288982862,11.9857634227,13.167,13.075,7.586,-41.980879541109,-13.1430357644318
"Greenwich",8.93,8.416,9.421,10.585,6.314,-40.3495512517714,-8.30127869829399
"Kingston upon Thames",11.79,11.837,11.70376492,11.963,6.258,-47.6887068461088,-14.6447107459485
"Havering",7.286,11.412,11.246,10.325,6.015,-41.7433414043583,-4.67943318102141
"Enfield",6.83291394,6.772238,7.557,7.713,4.541,-41.1253727473097,-9.71067884660471
"Hillingdon",7.159,7.23396574,7.642,7.279,4.286,-41.1182854787746,-12.0370165255659
"Bexley",5.64,5.604,7.259,7.011,1.541,-78.0202538867494,-27.7012341844198
"Sutton",2.536,2.342,2.288,2.211,1.078,-51.2437810945274,-19.2546766733589
"Total for London",638.9679504382,679.9746780927,727.96005256,726.693,590.197,-18.7831725364081,-1.96537755546101
"Total for rest of England",857.442027181882,891.423722104234,932.699674009435,993.364,522.335,-47.4175629477211,-11.6541628785355
"Total for all of England",1496.40997762008,1571.39840019693,1660.65972656944,1720.057,1112.532,-35.3200504401889,-7.14282241229515
