"variable","2016","2017","2018","2019","2020","2021"
"Income",249.649,235.464,229.864,401.532,398.519,NA
"Expenditure",71.35,59.76,69.648,134.094,117.935,NA
"Surplus",178.299,175.704,160.216,267.438,280.584,NA
"Budgeted surplus",202.66,210.028,NA,257.069,248.645,546.59
"Expenditure as \% of income",28.5801264976026,25.379675874019,30.2996554484391,33.3955948716416,29.5933192645771,NA
