"auth.name","2015","2016","2017","2018","2019","change","change.4","prop.income"
"Blaenau Gwent",340.438,866.175,483.275,323.1569,379.2382,17.3542016277542,2.73502040684559,1264.12733333333
"Torfaen",86,87,82,115,302,162.608695652174,36.8917019175454,279.62962962963
"Caerphilly",511.91,657.84,550.429,301.865,-17.45884,-105.78365825783,NA,-1.67701245259676
"Vale of Glamorgan",578,632,686,-101,-108,6.93069306930694,NA,-14.6341463414634
"Neath Port Talbot",1167.756,1256.294,1331.721,-172.614,-262.76,52.2240374477157,NA,-15.2594885434785
"Isle of Anglesey",337,358,351,-303,-273,-9.9009900990099,NA,-45.575959933222
"Merthyr Tydfil",518.726,504.046,510.397,-279.725,-279.157,-0.203056573420341,NA,-40.0734697744659
"Newport",502.5744,633.041,285.733,-181.212,-311.91,72.1243626249918,NA,-49.0006943768047
"Bridgend",988.229,832.518,888.598,-204.34,-323.807,58.4648135460507,NA,-18.9124357966472
"Flintshire",861.707,725.8859,678.484,-321.412,-361.494,12.4705984841885,NA,-39.0622315440049
"Rhondda Cynon Taf",794.365,790.796,905.616,-69.144,-374.724,441.947240541479,NA,-21.2427126346079
"Denbighshire",842,1052.634,1052.62,-445.238,-406.5202,-8.69597833069055,NA,-25.6492567448199
"Wrexham",580.3312,838.0524,812.1624,-402.687,-444.9608,10.4979301541892,NA,-40.7606142661893
"Ceredigion",964.394,588.608,567.214,-486.015,-619.4137,27.4474450377046,NA,-49.2144611358167
"Monmouthshire",489.976,593.581,670.785,-778.198,-676.182,-13.1092601111799,NA,-45.3217244430146
"Pembrokeshire",1200,1270,1319,-803,-759,-5.47945205479452,NA,-36.7554479418886
"Carmarthenshire",1712.004,1764.262,2114.892,-957.179,-760.733,-20.5234339658518,NA,-28.0805297086278
"Powys",763,789,821.52,-860.117,-882.75,2.63138619513393,NA,-50.6987554898525
"Conwy",827.782,915.938,954.178,-1168.698,-1233.072,5.50818089874372,NA,-51.5642112579051
"Gwynedd",1130,1135,1157,-1562,-1389,-11.0755441741357,NA,-51.4635050018525
"Swansea",3044,3199,3086.619,-3280.923,-2607.755,-20.5176409199484,NA,-40.4859547269231
"Cardiff",3762.95,3940.961,4764.262,-4448.158,-3991.422,-10.267980588819,NA,-41.7919096024848
"Total",22003.1426,23430.6323,24073.5054,-16084.6381,-15401.88134,-4.24477539224212,NA,-35.8205562364506
