"rowname","2015","2016","2017","2018","2019","change"
"income.total",35.8171122,37.4101008,38.493766,41.929017,42.997326,2.54789898842608
"expend.total",22.0031426,23.4306323,24.0735054,-16.0846381,-15.40188134,-4.24477539224212
"surplus.total",13.8139696,13.9794685,14.4202606,58.0136551,58.39920734,0.664588775410579
"transport.total",271.216321,270.500309,265.292941,267.073891,270.525032,1.29220456072213
"surplus.of.transport",5.09334008700752,5.16800463248269,5.43559905727005,21.7219492638462,21.5873580748712,-0.619609167391872
