"auth.name","2015","2016","2017","2018","2019","transport.total"
"Cardiff",3494.027,3657.781,3864.867,14187.209,13542.127,23421.96
"Swansea",2402,2467,2844.895,10259.129,9048.89,21874.18
"Gwynedd",1408,1355,1382,4259,4088,15495
"Conwy",1058.264,1019.329,949.307,3395.47,3624.405,8046.58
"Carmarthenshire",1393.989,1327.647,920.176,3839.355,3469.845,16304.42
"Pembrokeshire",583,597,597,2976,2824,11366
"Powys",839,895,831.251,2542.855,2623.917,13502.39
"Monmouthshire",930.895,928.622,863.961,2223.7,2168.142,5220.487
"Rhondda Cynon Taf",496.67,530.72,184.162,1393.108,2138.736,17702.01
"Bridgend",231.671,294.969,250.039,1415.404,2035.945,11951.05
"Denbighshire",458,658.053,464.066,1959.937,1991.4402,9529.369
"Neath Port Talbot",208.29,118.256,168.26,1825.086,1984.705,13795.42
"Ceredigion",15.865,520.056,487.802,1544.205,1878.0147,12038.41
"Wrexham",315.9206,136.0446,300.7016,1469.909,1536.6048,8963.356
"Flintshire",-422.852,-127.2221,-107.574,1042.53,1286.925,18560.38
"Caerphilly",190.09,17.16,90.994,386.54,1058.52684,15016.49
"Merthyr Tydfil",171.254,103.767,214.834,963.463,975.77,5071.276
"Newport",137.324,9.4609999999999,305.583,830.412,948.452,12007.9
"Isle of Anglesey",186,247,288,985,872,7959
"Vale of Glamorgan",108,132,51,908,846,9203.158
"Torfaen",-81,-72,-78,-109,-194,8081
"Blaenau Gwent",-310.438,-836.175,-453.064,-283.6569,-349.2382,5415.196
