"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2021-22)","(2020-21)","(2019-20)","(2020-21)","(2019-20)"
"Parking income","1710.3","4.5","92.8","17.0","1850.0"
"Parking expenditure","856.7","4.4","43.5","9.2","863.8"
"Surplus","853.6","0.1","49.3","7.8","986.3"
"Surplus as proportion of income","49.90972"," 2.92887","53.09590","45.85638","53.31121"
