"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2018-19)","(2018-19)","(2017-18)","(2021-22)","(2017-18)"
"Parking income","1021.30190"," 727.96005","  88.21500","  36.94306","1787.11312"
"Parking expenditure","539.636084","273.540852"," 43.648000"," -8.412915","816.315525"
"Surplus","481.66582","454.41920"," 44.56700"," 45.35597","970.79759"
"Surplus as proportion of income"," 47.16194"," 62.42365"," 50.52089","122.77265"," 54.32211"
