"country","England without London","London","Scotland","Wales","Great Britain"
"Most recent year available","(2018-19)","(2018-19)","(2017-18)","(2021-22)","(2017-18)"
"Average annual change in income"," 4.325944"," 5.768289"," 4.724646","-1.022698"," 4.220395"
"Change in income since previous year","  4.168808","  7.056936","  6.827567","116.931484","  5.270781"
"Average annual change in expenditure","  2.84993807"," -0.03763243","  2.26350064","-12.60363901","  0.14195543"
"Change in expenditure since previous year","   5.12433335","  -0.07877651","   9.19643751","-191.24077161","  -0.39120385"
"Average annual change in surplus"," 6.113830","10.235649"," 7.452372","-3.779874"," 8.401425"
"Change in surplus since previous year","  3.118705"," 11.865799","  4.605093","480.797151"," 10.554973"
