"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2018-19)","(2018-19)","(2017-18)","(2021-22)","(2017-18)"
"Parking income","1021.30190"," 727.96005","  88.21500","  36.94306","1787.11312"
"Parking expenditure","539.63608","273.54085"," 43.64800"," 28.53014","854.80929"
"Surplus","481.665816","454.419201"," 44.567000","  8.412916","932.303827"
"Surplus as proportion of income","47.16194","62.42365","50.52089","22.77266","52.16815"
