"auth.name","income.total","expend.total","surplus.total","income.tfs","expend.tfs","surplus.tfs","income.diff","expend.diff","surplus.diff"
"Aberdeenshire",544,673,-129,NA,NA,NA,NA,NA,NA
"Angus",593,210,383,187.339,314.918,-127.579,405.661,-104.918,510.579
"Argyll and Bute",1202,769,433,1202.531,360.375,842.156,-0.530999999999949,408.625,-409.156
"Edinburgh City",33541,8769,24772,33106.04,9230.474,23875.566,434.959999999999,-461.474,896.434000000001
"Clackmannanshire",38,56,-18,NA,NA,NA,NA,NA,NA
"Dumfries and Galloway",8,200,-192,NA,NA,NA,NA,NA,NA
"Dundee City",5252,2828,2424,5201.476,2871.52,2329.956,50.5240000000003,-43.52,94.0440000000003
"East Ayrshire",1400,1029,371,1386.245,782.107,604.138,13.7550000000001,246.893,-233.138
"East Dunbartonshire",579,403,176,549.648,323.798,225.85,29.352,79.202,-49.85
"East Lothian",501,480,21,611.643,448.363,163.28,-110.643,31.637,-142.28
"East Renfrewshire",154,412,-258,133.257,220.481,-87.224,20.743,191.519,-170.776
"Falkirk",772,430,342,767.397,421.718,345.679,4.60299999999995,8.28199999999998,-3.67900000000003
"Fife",4000,3272,728,3841,2840,1001,159,432,-273
"Glasgow City",21437.93838,8253.57649,13184.36189,24790.338,8547.211,16243.127,-3352.39962,-293.63451,-3058.76511
"Highland",2680,1588,1092,1136.361,1144.081,-7.7199999999998,1543.639,443.919,1099.72
"Inverclyde",472,449,23,408.524,390.975,17.549,63.476,58.025,5.45100000000002
"Midlothian",271,375,-104,236.146,282.632,-46.486,34.854,92.368,-57.514
"Moray",877,474,403,NA,NA,NA,NA,NA,NA
"Na h-Eileanan an Iar",71,118,-47,NA,NA,NA,NA,NA,NA
"North Ayrshire",186,443,-257,NA,NA,NA,NA,NA,NA
"North Lanarkshire",0,0,0,370.518,282.873,87.645,-370.518,-282.873,-87.645
"Orkney Islands",158,142,16,NA,NA,NA,NA,NA,NA
"Perth and Kinross",3555,2847,708,3554.983,2528.14,1026.843,0.0169999999998254,318.86,-318.843
"Renfrewshire",891,447,444,890.822,569.525,321.297,0.177999999999997,-122.525,122.703
"Scottish Borders",177,595,-418,NA,NA,NA,NA,NA,NA
"Shetland Islands",91,97,-6,NA,NA,NA,NA,NA,NA
"South Ayrshire",736,427,309,1095.686,355.877,739.809,-359.686,71.123,-430.809
"South Lanarkshire",2327,1646,681,2326.507,2326.507,0,0.492999999999938,-680.507,681
"Stirling",2161,1752,409,1045.894,739.66,306.234,1115.106,1012.34,102.766
"West Dunbartonshire",0,104,-104,NA,NA,NA,NA,NA,NA
"West Lothian",0,175,-175,NA,NA,NA,NA,NA,NA
"Aberdeen City",8154,4077,4077,8599.598,3521.099,5078.499,-445.598,555.901,-1001.499
"Total",92828.93838,43540.57649,49288.36189,91441.953,38502.334,52939.619,-763.014620000001,1961.24249,-2724.25711
