"rowname","2015","2016","2017","2018","2019","change"
"income.total",77.766,82.577,88.215,88.554,92.82893838,4.82749325835086
"expend.total",39.567,39.972,43.648,41.582,43.54057649,4.71015461016786
"surplus.total",38.199,42.605,44.567,46.972,49.28836189,4.93136738908284
"transport.total",439.673,412.869,426.734,375.318,365.95961749,-2.49345422015465
"surplus.of.transport",8.68804770818313,10.3192538068976,10.4437424718912,12.5152537315024,13.4682515595718,7.61469042909344
