"auth.name","2015","2016","2017","2018","2019","change","change.4","prop.income"
"Edinburgh City",8355,8365,8737,8399,8769,4.40528634361232,1.21640406037398,26.1441221191974
"Glasgow City",6948,6952,7544,6490,8253.57649,27.1737517719568,4.39882065533201,38.4998610580016
"Aberdeen City",4877,4821,5075,4981,4077,-18.1489660710701,-4.38038538918529,50
"Fife",2779,3013,3204,3306,3272,-1.02843315184514,4.16724713440673,81.8
"Perth and Kinross",2635,2395,2499,2668,2847,6.70914542728636,1.95339963481749,80.084388185654
"Dundee City",2840,2848,3401,3018,2828,-6.29555997349239,-0.105801594073796,53.8461538461538
"Stirling",1508,1546,1693,1661,1752,5.47862733293196,3.82051768114906,81.0735770476631
"South Lanarkshire",1832,1696,1502,1560,1646,5.51282051282051,-2.64100316213363,70.7348517404383
"Highland",1119,1334,1607,1422,1588,11.6736990154712,9.14531607734377,59.2537313432836
"East Ayrshire",962,955,1698,977,1029,5.32241555783008,1.69745287664738,73.5
"Argyll and Bute",726,726,705,834,769,-7.79376498800958,1.44892041405262,63.9767054908486
"Aberdeenshire",568,589,625,645,673,4.34108527131782,4.33179566402884,123.713235294118
"Scottish Borders",349,390,387,333,595,78.6786786786787,14.2675418119511,336.158192090396
"East Lothian",0,170,463,483,480,-0.621118012422357,NA,95.8083832335329
"Moray",425,362,434,350,474,35.4285714285714,2.7655031446099,54.0478905359179
"Inverclyde",297,346,397,463,449,-3.02375809935205,10.8849162821879,95.1271186440678
"Renfrewshire",368,289,424,576,447,-22.3958333333333,4.98202028343908,50.1683501683502
"North Ayrshire",279,336,437,399,443,11.0275689223058,12.2534973628148,238.172043010753
"Falkirk",223,320,275,324,430,32.7160493827161,17.8395019079397,55.699481865285
"South Ayrshire",470,706,579,505,427,-15.4455445544555,-2.37017647762086,58.0163043478261
"East Renfrewshire",378,345,336,365,412,12.8767123287671,2.17657810202061,267.532467532468
"East Dunbartonshire",549,341,513,535,403,-24.6728971962617,-7.43790504619346,69.6027633851468
"Midlothian",135,229,211,358,375,4.74860335195531,29.0994448735806,138.376383763838
"Angus",114,190,159,139,210,51.0791366906475,16.500720387326,35.4131534569983
"Dumfries and Galloway",248,210,213,200,200,0,-5.23573932468663,2500
"West Lothian",143,149,144,173,175,1.15606936416187,5.1781439830431,NA
"Orkney Islands",98,134,134,136,142,4.41176470588236,9.71488877460238,89.873417721519
"Na h-Eileanan an Iar",93,102,130,115,118,2.60869565217392,6.13283488079768,166.197183098592
"West Dunbartonshire",86,77,98,91,104,14.2857142857143,4.86576321842678,NA
"Shetland Islands",71,36,24,33,97,193.939393939394,8.11310648266033,106.593406593407
"Clackmannanshire",92,0,0,43,56,30.2325581395349,-11.6716637988978,147.368421052632
"North Lanarkshire",0,0,0,0,0,0,0,100
"Total",39567,39972,43648,41582,43540.57649,4.71015461016786,2.4212950704287,46.9040982799614
