"","Date","Cost.of.Living","Seasonally adjusted total pay excluding arrears","CPIH"
"1",2013-04-01,0,0,0
"2",2013-05-01,0.200400801603195,-1.47368421052632,0.204081632653057
"3",2013-06-01,0.0801603206412835,-1.68421052631579,0
"4",2013-07-01,0.0801603206412835,-1.89473684210526,0
"5",2013-08-01,0.601202404809612,-1.89473684210526,0.408163265306129
"6",2013-09-01,0.961923847695402,-1.89473684210526,0.714285714285708
"7",2013-10-01,0.961923847695402,-1.89473684210526,0.81632653061223
"8",2013-11-01,1.04208416833667,-1.89473684210526,0.81632653061223
"9",2013-12-01,1.56312625250501,-1.47368421052632,1.22448979591836
"10",2014-01-01,1.24248496993988,-1.26315789473685,0.714285714285708
"11",2014-02-01,1.88376753507013,-0.631578947368411,1.12244897959184
"12",2014-03-01,2.124248496994,-2.94736842105263,1.32653061224491
"13",2014-04-01,2.48496993987975,-1.26315789473685,1.63265306122449
"14",2014-05-01,2.56513026052106,-1.26315789473685,1.63265306122449
"15",2014-06-01,2.72545090180361,-1.05263157894737,1.83673469387755
"16",2014-07-01,2.60521042084167,-1.47368421052632,1.63265306122449
"17",2014-08-01,3.00601202404809,-1.05263157894737,1.9387755102041
"18",2014-09-01,3.24649298597195,-0.421052631578945,2.04081632653062
"19",2014-10-01,3.28657314629257,0,2.14285714285714
"20",2014-11-01,3.04609218436876,0,1.9387755102041
"21",2014-12-01,3.20641282565131,0.631578947368425,1.9387755102041
"22",2015-01-01,2.36472945891784,0.21052631578948,1.22448979591836
"23",2015-02-01,2.88577154308615,0.84210526315789,1.53061224489797
"24",2015-03-01,3.04609218436876,1.05263157894737,1.63265306122449
"25",2015-04-01,3.40681362725451,1.26315789473684,1.9387755102041
"26",2015-05-01,3.60721442885772,1.47368421052632,2.14285714285714
"27",2015-06-01,3.76753507014027,1.26315789473684,2.14285714285714
"28",2015-07-01,3.64729458917836,1.89473684210526,2.04081632653062
"29",2015-08-01,4.12825651302606,1.89473684210526,2.3469387755102
"30",2015-09-01,4.04809619238478,1.68421052631579,2.24489795918367
"31",2015-10-01,4.00801603206413,1.89473684210526,2.3469387755102
"32",2015-11-01,4.12825651302606,1.89473684210526,2.3469387755102
"33",2015-12-01,4.44889779559119,2.52631578947368,2.44897959183675
"34",2016-01-01,3.72745490981966,2.94736842105263,1.9387755102041
"35",2016-02-01,4.20841683366733,2.31578947368421,2.14285714285714
