"","Date","Cost.of.Living","Seasonally adjusted total pay excluding arrears","CPIH"
"1",2013-03-01,0,0,0
"2",2013-04-01,0.321672698029758,4.16666666666667,0.204498977505125
"3",2013-05-01,0.522718134298358,2.63157894736842,0.408997955010236
"4",2013-06-01,0.402090872537201,2.41228070175438,0.204498977505125
"5",2013-07-01,0.402090872537201,2.19298245614034,0.204498977505125
"6",2013-08-01,0.924809006835559,2.19298245614034,0.613496932515361
"7",2013-09-01,1.28669079211903,2.19298245614034,0.920245398773019
"8",2013-10-01,1.28669079211903,2.19298245614034,1.02249488752557
"9",2013-11-01,1.36710896662646,2.19298245614034,1.02249488752557
"10",2013-12-01,1.88982710092482,2.63157894736842,1.43149284253579
"11",2014-01-01,1.56815440289506,2.85087719298245,0.920245398773019
"12",2014-02-01,2.21149979895456,3.50877192982458,1.32924335378324
"13",2014-03-01,2.45275432247689,1.09649122807018,1.53374233128834
"14",2014-04-01,2.81463610776036,2.85087719298245,1.840490797546
"15",2014-05-01,2.89505428226779,2.85087719298245,1.840490797546
"16",2014-06-01,3.05589063128269,3.07017543859649,2.04498977505112
"17",2014-07-01,2.93526336952152,2.63157894736842,1.840490797546
"18",2014-08-01,3.33735424205872,3.07017543859649,2.1472392638037
"19",2014-09-01,3.57860876558102,3.72807017543859,2.24948875255623
"20",2014-10-01,3.61881785283474,4.16666666666667,2.35173824130879
"21",2014-11-01,3.37756332931242,4.16666666666667,2.1472392638037
"22",2014-12-01,3.53839967832729,4.82456140350878,2.1472392638037
"23",2015-01-01,2.69400884599919,4.3859649122807,1.43149284253579
"24",2015-02-01,3.21672698029755,5.04385964912282,1.73824130879345
"25",2015-03-01,3.37756332931242,5.26315789473684,1.840490797546
"26",2015-04-01,3.7394451145959,5.48245614035088,2.1472392638037
"27",2015-05-01,3.9404905508645,5.70175438596492,2.35173824130879
"28",2015-06-01,4.10132689987937,5.48245614035088,2.35173824130879
"29",2015-07-01,3.98069963811822,6.14035087719299,2.24948875255623
"30",2015-08-01,4.46320868516285,6.14035087719299,2.55623721881391
"31",2015-09-01,4.38279051065543,5.92105263157893,2.45398773006136
"32",2015-10-01,4.3425814234017,6.14035087719299,2.55623721881391
"33",2015-11-01,4.46320868516285,6.14035087719299,2.55623721881391
"34",2015-12-01,4.78488138319261,6.79824561403508,2.65848670756648
"35",2016-01-01,4.06111781262565,7.23684210526316,2.1472392638037
"36",2016-02-01,4.5436268596703,6.57894736842107,2.35173824130879
"37",2016-03-01,4.98592681946121,7.89473684210526,2.65848670756648
"38",2016-04-01,5.10655408122236,8.1140350877193,2.86298568507158
"39",2016-05-01,5.38801769199841,8.1140350877193,3.06748466257669
"40",2016-06-01,5.79010856453559,8.1140350877193,3.27198364008181
"41",2016-07-01,5.91073582629673,8.77192982456141,3.16973415132927
"42",2016-08-01,6.31282669883393,8.55263157894737,3.47648261758692
"43",2016-09-01,6.51387213510253,8.55263157894737,3.78323108384457
"44",2016-10-01,6.47366304784882,8.99122807017542,3.88548057259715
"45",2016-11-01,6.75512665862486,9.21052631578947,4.08997955010224
"46",2016-12-01,7.39847205468438,8.77192982456141,4.49897750511248
"47",2017-01-01,6.75512665862486,8.99122807017542,4.08997955010224
"48",2017-02-01,7.92119018898269,9.42982456140351,4.7034764826176
"49",2017-03-01,8.28307197426619,10.0877192982456,5.01022494887526
"50",2017-04-01,8.80579010856455,10.0877192982456,5.52147239263805
"51",2017-05-01,9.24809006835545,10.3070175438597,5.82822085889572
"52",2017-06-01,9.48934459187778,11.1842105263158,5.82822085889572
"53",2017-07-01,9.73059911540008,10.5263157894737,5.82822085889572
"54",2017-08-01,10.454362685967,11.1842105263158,6.33946830265847
"55",2017-09-01,10.6151990349819,11.6228070175439,6.64621676891615
"56",2017-10-01,10.6956172094894,11.4035087719298,6.74846625766872
"57",2017-11-01,10.8966626457579,11.6228070175439,7.05521472392638
"58",2017-12-01,11.8214716525935,12.0614035087719,7.36196319018406
"59",2018-01-01,10.9770808202654,11.8421052631579,6.85071574642126
"60",2018-02-01,11.8214716525935,12.5,7.25971370143151
"61",2018-03-01,11.9018898271009,13.8157894736842,7.4642126789366
"62",2018-04-01,12.464817048653,12.5,7.87321063394684
"63",2018-05-01,12.8669079211902,12.9385964912281,8.28220858895708
"64",2018-06-01,13.1885806192199,13.5964912280702,8.28220858895708
"65",2018-07-01,13.2689987937274,14.0350877192982,8.28220858895708
"66",2018-08-01,14.2742259750704,14.6929824561403,8.89570552147238
"67",2018-09-01,14.2340168878167,14.9122807017544,8.99795501022496
"68",2018-10-01,14.3948532368315,16.2280701754386,9.1002044989775
"69",2018-11-01,14.4350623240853,15.1315789473684,9.30470347648263
"70",2018-12-01,14.8371531966224,15.5701754385965,9.50920245398773
"71",2019-01-01,13.7917169280257,16.0087719298246,8.79345603271983
"72",2019-02-01,14.5958986731001,16.4473684210526,9.20245398773005
"73",2019-03-01,14.6361077603538,16.8859649122807,9.40695296523518
"74",2019-04-01,15.8825894652191,16.8859649122807,10.0204498977505
"75",2019-05-01,16.2846803377563,17.3245614035088,10.3271983640082
"76",2019-06-01,16.4455166867712,17.9824561403509,10.3271983640082
"77",2019-07-01,16.4053075995175,18.640350877193,10.4294478527607
"78",2019-08-01,17.2899075190993,18.4210526315789,10.7361963190184
"79",2019-09-01,17.0084439083233,19.7368421052632,10.838445807771
"80",2019-10-01,16.767189384801,18.859649122807,10.7361963190184
"81",2019-11-01,17.0084439083233,18.859649122807,10.9406952965235
"82",2019-12-01,17.3703256936067,18.4210526315789,10.9406952965235
"83",2020-01-01,16.8476075593084,19.5175438596491,10.7361963190184
"84",2020-02-01,17.4105347808605,19.7368421052632,11.0429447852761
"85",2020-03-01,17.6517893043828,18.859649122807,11.0429447852761
"86",2020-04-01,17.6517893043828,15.5701754385965,11.0429447852761
"87",2020-05-01,17.4909529553679,15.7894736842105,11.0429447852761
"88",2020-06-01,17.6919983916365,16.2280701754386,11.2474437627812
"89",2020-07-01,18.2951347004423,18.4210526315789,11.6564417177914
"90",2020-08-01,17.9332529151588,20.6140350877193,11.2474437627812
"91",2020-09-01,18.335343787696,22.1491228070175,11.6564417177914
"92",2020-10-01,18.335343787696,23.2456140350877,11.6564417177914
"93",2020-11-01,18.0136710896663,25,11.5541922290389
"94",2020-12-01,18.7776437474869,24.3421052631579,11.8609406952965
"95",2021-01-01,18.4559710494572,25,11.758691206544
"96",2021-02-01,19.0188982710092,24.5614035087719,11.8609406952965
"97",2021-03-01,19.3807800562927,22.5877192982456,12.1676891615542
"98",2021-04-01,21.069561720949,26.0964912280702,12.8834355828221
