"rowname","2016","2017","2018","2019","2020","change"
"income.total",82.577,88.215,88.554,92.82893838,42.742,-53.9561684686801
"expend.total",39.972,43.648,41.582,43.54057649,44.667,2.58706613647779
"surplus.total",42.605,44.567,46.972,49.28836189,-1.925,-103.905587295224
"transport.total",412.869,426.734,375.318,365.95961749,455.961,24.5932551594875
"surplus.of.transport",10.3192538068976,10.4437424718912,12.5152537315024,13.4682515595718,-0.422185230754385,-103.134669922722
