"auth.name","2016","2017","2018","2019","2020","change","change.4","prop.income"
"Glasgow City",6952,7544,6490,8253.57649,14253,72.6887733732023,19.660036347168,188.034300791557
"Edinburgh City",8365,8737,8399,8769,6943,-20.8233550005702,-4.55123686654878,34.5388518555368
"Fife",3013,3204,3306,3272,2829,-13.539119804401,-1.56298086493454,170.012019230769
"Aberdeen City",4821,5075,4981,4077,2814,-30.9786607799853,-12.5928941659885,75.7062146892655
"Perth and Kinross",2395,2499,2668,2847,2748,-3.47734457323499,3.4970098409411,187.576791808874
"Dundee City",2848,3401,3018,2828,2710,-4.17256011315418,-1.2340315704917,155.479059093517
"Stirling",1546,1693,1661,1752,1705,-2.68264840182648,2.47754753354776,203.218116805721
"Highland",1334,1607,1422,1588,1646,3.65239294710327,5.39463407199821,113.204951856946
"South Lanarkshire",1696,1502,1560,1646,1480,-10.0850546780073,-3.34841802610362,391.534391534392
"Argyll and Bute",726,705,834,769,888,15.4746423927178,5.16448182207647,143.68932038835
"Aberdeenshire",589,625,645,673,598,-11.1441307578009,0.379833804591789,1128.30188679245
"East Ayrshire",955,1698,977,1029,568,-44.8007774538387,-12.1814542507467,110.291262135922
"South Ayrshire",706,579,505,427,562,31.615925058548,-5.54327065674864,116.839916839917
"East Lothian",170,463,483,480,535,11.4583333333333,33.1914095887402,84.6518987341772
"East Dunbartonshire",341,513,535,403,473,17.3697270471464,8.52422433167952,192.276422764228
"Moray",362,434,350,474,457,-3.58649789029536,5.99903398857387,452.475247524752
"Falkirk",320,275,324,430,452,5.11627906976744,9.01772481575973,151.170568561873
"Renfrewshire",289,424,576,447,409,-8.50111856823266,9.07026449834632,183.408071748879
"Scottish Borders",390,387,333,595,405,-31.9327731092437,0.947973269904545,604.477611940299
"North Ayrshire",336,437,399,443,359,-18.961625282167,1.66905638805788,381.914893617021
"Inverclyde",346,397,463,449,341,-24.0534521158129,-0.36324610368077,426.25
"Midlothian",229,211,358,375,331,-11.7333333333333,9.64734694945766,189.142857142857
"Dumfries and Galloway",210,213,200,200,211,5.5,0.118835622601243,NA
"East Renfrewshire",345,336,365,412,201,-51.2135922330097,-12.6336402445756,1256.25
"West Lothian",149,144,173,175,169,-3.42857142857143,3.1989097168547,NA
"Orkney Islands",134,134,136,142,158,11.2676056338028,4.20488344095298,228.985507246377
"Angus",190,159,139,210,152,-27.6190476190476,-5.42583909968242,190
"Na h-Eileanan an Iar",102,130,115,118,115,-2.54237288135593,3.04440530164864,575
"West Dunbartonshire",77,98,91,104,91,-12.5,4.26478854384245,NA
"Clackmannanshire",0,0,43,56,39,-30.3571428571429,NA,216.666666666667
"Shetland Islands",36,24,33,97,25,-74.2268041237113,-8.71290708247231,192.307692307692
"North Lanarkshire",0,0,0,0,0,0,0,100
"Total",39972,43648,41582,43540.57649,44667,2.58706613647779,2.81529512575109,104.503766786767
