"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2021-22)","(2020-21)","(2020-21)","(2021-22)","(2020-21)"
"Parking income","1725.18700"," 590.19700","  42.74200","  36.94306","1174.86683"
"Parking expenditure","869.378000","286.215000"," 44.667000"," -8.412915","846.177566"
"Surplus","855.80900","303.98200"," -1.92500"," 45.35597","328.68926"
"Surplus as proportion of income"," 49.606738"," 51.505175"," -4.503767","122.772655"," 27.976725"
