"auth.name","2016","2017","2018","2019","2020","change","prop.transp"
"Edinburgh City",21869,23819,24082,24772,13159,-46.8795414177297,73.8357086746717
"Aberdeen City",3219,3322,2888,4077,903,-77.8513612950699,8.22554199307706
"East Lothian",-86,-5,-1,21,97,361.904761904762,1.3966882649388
"North Lanarkshire",0,0,0,0,0,0,0
"Shetland Islands",-9,4,-20,-6,-12,100,-0.059183270862103
"Clackmannanshire",0,0,-10,-18,-21,16.6666666666667,-0.833002776675922
"East Ayrshire",835,386,381,371,-53,NA,-0.488434245691641
"Angus",-184,-159,212,383,-72,NA,-0.612244897959184
"South Ayrshire",481,307,504,309,-81,NA,-0.820668693009118
"Orkney Islands",-24,15,14,16,-89,NA,-0.82983682983683
"West Dunbartonshire",-77,-98,-91,-104,-91,-12.5,-1.52787105439893
"Na h-Eileanan an Iar",-66,-83,-41,-47,-95,102.127659574468,-1.35058288313904
"Falkirk",142,136,205,342,-153,NA,-1.5758574518488
"Midlothian",-229,-211,-164,-104,-156,50,-2.44360902255639
"West Lothian",-149,-144,-173,-175,-169,-3.42857142857143,-1.19790189963141
"East Renfrewshire",-129,-143,-164,-258,-185,-28.2945736434108,-1.96369812121855
"Renfrewshire",763,597,504,444,-186,NA,-1.44837252764367
"Highland",481,644,1130,1092,-192,NA,-0.529494498221229
"Dumfries and Galloway",-195,-196,-189,-192,-211,9.89583333333333,-1.78768109802593
"East Dunbartonshire",-157,-190,82,176,-227,NA,-2.71628574847433
"Inverclyde",39,-1,44,23,-261,NA,-4.91710625470987
"North Ayrshire",-141,-252,-204,-257,-265,3.11284046692606,-2.28586215819891
"Argyll and Bute",363,347,357,433,-270,NA,-1.98136053423351
"Scottish Borders",-216,-222,-147,-418,-338,-19.1387559808612,-2.54518072289157
"Moray",328,242,523,403,-356,NA,-4.78880817863869
"Aberdeenshire",-101,-182,-179,-129,-545,322.480620155039,-2.31442160693052
"Stirling",74,525,379,409,-866,NA,-8.94720528980267
"Dundee City",903,1693,2122,2424,-967,NA,-9.79438873695938
"South Lanarkshire",656,773,741,681,-1102,NA,-4.45684704359783
"Fife",454,375,508,728,-1165,NA,-4.04036900880905
"Perth and Kinross",510,726,878,708,-1283,NA,-8.61883649066237
"Glasgow City",13251,12542,12801,13184.36189,-6673,NA,-14.7629477223955
"Total deficit",-1763,-1886,-1383,-1708,-16084,841.686182669789,-4.06298074858475
"Total surplus",44368,46453,48355,50996.36189,14159,-72.2352742916422,23.5614204413086
"Total",42605,44567,46972,49288.36189,-1925,NA,-0.422185230754385
