"auth.name","2016","2017","2018","2019","2020","income.per.pcn"
"Aberdeen City",37754,40392,38967,36842,35295,33.6739198186712
"Angus",NA,6273,6626,8217,2404,26.4417637271215
"Argyll and Bute",13018,6269,6696,5775,4401,28.7734605771416
"Dundee City",29266,21837,29130,31949,18680,28.2867237687366
"East Ayrshire",5995,6262,6900,6097,2550,38.1862745098039
"East Dunbartonshire",4704,5301,6348,6137,4900,31.7167346938776
"East Lothian",953,10040,9540,10063,10154,24.1663383888123
"East Renfrewshire",3742,5176,4859,3614,77,159.506493506494
"Edinburgh City",192381,191563,183965,191479,98721,29.1942849039212
"Falkirk",NA,NA,2881,7689,2741,18.3892739875958
"Fife",20142,21890,21768,19864,7294,33.3934740882917
"Glasgow City",133901,125505,146412,152579,65686,30.3283043570928
"Highland",4101,9477,10000,10386,8070,31.1998760842627
"Inverclyde",7200,8059,9117,8635,1017,56.2940019665683
"Midlothian",NA,NA,6855,6939,4696,27.1916524701874
"North Lanarkshire",NA,NA,6018,11863,2707,39.8559290727743
"Perth and Kinross",7805,14469,15852,13401,5872,44.0517711171662
"Renfrewshire",6160,6823,6974,5191,2470,14.7805668016194
"South Ayrshire",5238,5824,7213,8991,3025,37.9252892561983
"South Lanarkshire",23693,20952,21281,22320,5065,50.1496544916091
"Stirling",NA,9975,9586,12189,4551,34.0927268732147
"Total",496053,516087,556988,580220,290376,30.8202606276001
