"variable","2014","2015","2016","2017","2018","2019"
"Income",249.649,235.464,229.864,NA,229.864,NA
"Expenditure",71.35,59.76,69.648,NA,69.648,NA
"Surplus",178.299,175.704,160.216,NA,160.216,NA
"Budgeted surplus",202.66,210.028,192.437,257.069,NA,257.069
"Expenditure as \% of income",28.5801264976026,25.379675874019,30.2996554484391,NA,30.2996554484391,NA
