"collapsed","variable","london","rest","total","prop"
"Income","On-street","677","322","999","67.8\%"
"Income","Off-street","51","672","723"," 7.0\%"
"Income","Total","728","993","1,721","42.3\%"
"Expenditure","On-street","242","188","430","56.3\%"
"Expenditure","Off-street","31","335","366"," 8.6\%"
"Expenditure","Total","274","522","796","34.4\%"
"Surplus","On-street","435","134","569","76.5\%"
"Surplus","Off-street","19","337","357"," 5.4\%"
"Surplus","Total","454","471","926","49.1\%"
