"collapsed","variable","2014","2015","2016","2017","2018","2018 budget","2019 budget","change"
"On-street","Total Income",992.317436147222,1.239,871.878766839871,933.115554474685,998.770436147222,NA,NA,7.03609337104005
"On-street","Expenditure",424.656578260919,1.59,400.607159009437,416.936478845353,429.778578260919,NA,NA,3.08010933730969
"On-street","Surplus",567.660857886303,-0.351,471.271607830434,516.179075629332,568.991857886303,NA,NA,10.2314845274541
"Off-street","Total Income",665.978290422213,2.869,624.531210780211,638.282845722248,722.667073422213,NA,NA,13.2205069062259
"Off-street","Expenditure",335.547856731432,1.155,308.815679793202,316.355534394027,366.026649731432,NA,NA,15.7010420040696
"Off-street","Surplus",330.430433690781,1.714,315.715530987009,321.927311328221,356.640423690781,NA,NA,10.7829038236424
"All parking","Total Income",1658.29572656944,4.108,1496.40997762008,1571.39840019693,1721.43750956944,NA,NA,9.54812664654023
"All parking","Expenditure",760.204434992351,2.745,709.422838802639,733.292013239381,795.805227992351,NA,NA,8.52500963113076
"All parking","Surplus",898.091291577084,1.363,786.987138817443,838.106386957553,925.632281577084,0,884.699,10.4432916848734
"All England transport","Net Expenditure",3857.44544720912,NA,4012.82509003497,3996.98446488921,3857.44544720912,NA,4864.032,-3.49110733118543
"","Parking surplus as percentage of net transport expenditure",23.2820218423791,NA,19.6117977026152,20.9684674614011,23.9959914986428,NA,18.1885933316228,NA
