"collapsed","variable","2013","2014","2015","2016","2017","2017 budget","2018 budget","change"
"On-street","Total Income",766.775,790.893,807.808028057819,873.353766839871,934.959554474685,NA,NA,7.05393277889295
"On-street","Expenditure",399.276,410.982,395.208924211862,401.400159009437,418.011478845353,NA,NA,4.13834410950631
"On-street","Surplus",367.499,379.911,412.599103845957,471.953607830434,516.948075629332,NA,NA,9.53366327799403
"Off-street","Total Income",575.26,587.938,614.90598420515,626.263210780211,639.562845722248,NA,NA,2.12364940381347
"Off-street","Expenditure",309.653,305.252,305.925790105502,310.389679793202,317.389534394027,NA,NA,2.25518277717502
"Off-street","Surplus",265.607,282.686,308.980194099648,315.873530987009,322.173311328221,NA,NA,1.99439956919691
"All parking","Total Income",1342.035,1378.831,1422.71401226297,1499.61697762008,1574.52240019693,NA,NA,4.99497029539677
"All parking","Expenditure",708.929,716.234,701.134714317364,711.789838802639,735.401013239381,NA,NA,3.31715531040178
"All parking","Surplus",633.106,662.597,721.579297945605,787.827138817443,839.121386957553,757.642015144487,844.208537,6.51085061846237
"All England transport","Net Expenditure",4795.258,4537.381,4330.74610201772,4012.82509003497,3996.98446488921,4239.57842865406,4251.303187,-0.394749952722762
"","Parking surplus as percentage of net transport expenditure",13.2027515516371,14.6030716838634,16.6617779234257,19.6327305860864,20.9938616056345,17.8706922844924,19.8576412894167,NA
