"auth.name","2013","2014","2015","2016","2017"
"Blaenau Gwent",913.75,679.627367928696,1134.79333333333,2887.25,1499.66568468439
"Flintshire",272.27034910101,101.844244034612,196.353465267571,121.251009331114,18.8425496137745
"Torfaen",855.555555555556,525,1720,580,1950
"Vale of Glamorgan",94.4502617801047,80.8375634517766,84.2565597667638,82.7225130890052,-6.91994572591588
"Caerphilly",69.9002849002849,72.506241331484,72.9216524216524,97.4577777777778,-14.1862702148192
"Neath Port Talbot",83.7143300783272,87.5502008032128,84.8631513772069,91.3967480266269,-11.2174754213553
"Rhondda Cynon Taf",71.6029483163212,61.3172067231732,61.5293156266097,59.8400624737044,-16.8990381527247
"Merthyr Tydfil",75.8635524435501,87.4464147578323,75.1798602858054,82.9278083884353,-29.6228374131828
"Bridgend",63.4510074454709,91.2231529091021,81.0090171325518,73.8383679811829,-21.9595007012771
"Isle of Anglesey",78.0927835051546,65.5701754385965,64.4359464627151,59.1735537190083,-45.0704225352113
"Wrexham",196.262864812198,55.5037094267981,64.7509104026346,86.0337728172862,-27.0205344049228
"Newport",97.3680425477745,89.6070945292867,78.5397181802611,98.5274754008548,-51.678459571532
"Denbighshire",58.3846153846154,61.3109512390088,64.7692307692308,61.5328227782172,-30.5973616160497
"Ceredigion",75.2380188990123,71.7335996571863,98.3815501821457,53.091649047863,-46.2364551817224
"Pembrokeshire",72.3529411764706,67.6528599605523,67.3022994952328,68.0235672201393,-31.1586638830898
"Powys",63.5811172802411,54.8789435069699,47.6279650436954,46.8527315914489,-50.2943844005007
"Monmouthshire",50.5611221936491,40.7636547430919,34.4842001842532,38.9948646796781,-56.2934192367988
"Carmarthenshire",67.5112632627038,71.9458768653933,55.1193772812753,57.0606055999708,-30.3181345525043
"Conwy",58.3508479216381,53.548252985093,43.8898096865082,47.3287665216221,-49.8720504758377
"Gwynedd",61.9933237958989,54.2673902318698,44.5232466509062,45.5823293172691,-54.4308782985427
"Swansea",72.8020788220009,62.2703538967318,55.894234300404,56.4595834804095,-47.9623752047116
"Cardiff",55.7755172189047,50.3478260869565,51.852858290718,51.8633347467252,-44.7886107624535
"Total",70.5343157934989,64.3252325613668,61.4319280603532,62.6318341809974,-37.4612884070631
