"auth.name","2013","2014","2015","2016","2017","change","change.4","prop.income"
"Blaenau Gwent",274.125,261.541,340.438,866.175,453.064,-47.6937108551967,13.3842489238754,1499.66568468439
"Flintshire",807.0831,458.2992,861.707,725.8859,107.574,-85.1803155289282,-39.5776981654217,18.8425496137745
"Torfaen",77,63,86,87,78,-10.3448275862069,0.323105986626682,1950
"Vale of Glamorgan",902,637,578,632,-51,-108.069620253165,NA,-6.91994572591588
"Caerphilly",490.7,522.77,511.91,657.84,-90.994,-113.832238842272,NA,-14.1862702148192
"Neath Port Talbot",1261.585,1308,1167.756,1256.294,-168.26,-113.393361744942,NA,-11.2174754213553
"Rhondda Cynon Taf",991.065,864.274,794.365,790.796,-184.162,-123.288180516846,NA,-16.8990381527247
"Merthyr Tydfil",630.9492,651.133,518.726,504.046,-214.834,-142.621903556421,NA,-29.6228374131828
"Bridgend",860.902,1156.383,988.229,832.518,-250.039,-130.034065329518,NA,-21.9595007012771
"Isle of Anglesey",303,299,337,358,-288,-180.446927374302,NA,-45.0704225352113
"Wrexham",304.1623,579.7368,580.3312,838.0524,-300.7018,-135.881026055173,NA,-27.0205344049228
"Newport",588.953,556.245,502.5744,633.041,-305.583,-148.272228812984,NA,-51.678459571532
"Denbighshire",759,767,842,1052.634,-464.0659,-144.086159101834,NA,-30.5973616160497
"Ceredigion",844.78,825.28,964.394,588.608,-487.802,-182.873831140589,NA,-46.2364551817224
"Pembrokeshire",984,1029,1200,1270,-597,-147.007874015748,NA,-31.1586638830898
"Powys",760.722,748,763,789,-831.251,-205.355006337136,NA,-50.2943844005007
"Monmouthshire",597.906,509.712,489.976,593.581,-863.961,-245.550649363777,NA,-56.2934192367988
"Carmarthenshire",1652.378,2025.534,1712.004,1764.262,-920.176,-152.156425746289,NA,-30.3181345525043
"Conwy",812.067,759.922,827.782,915.938,-949.307,-203.643150518922,NA,-49.8720504758377
"Gwynedd",1300,1100,1130,1135,-1382,-221.762114537445,NA,-54.4308782985427
"Swansea",3362,3220,3044,3199,-2844.895,-188.930759612379,NA,-47.9623752047116
"Cardiff",3688.334,3474,3762.95,3940.961,-3864.867,-198.069151153741,NA,-44.7886107624535
"Total",22252.7116,21815.83,22003.1426,23430.6323,-14420.2607,-161.544479531609,NA,-37.4612884070631
