"rowname","2013","2014","2015","2016","2017","change"
"income.total",31.5487736,33.9148871,35.8171122,37.4101008,38.493766,2.89671820397768
"expend.total",22.2527116,21.81583,22.0031426,23.4306323,-14.4202607,-161.544479531609
"surplus.total",9.296062,12.0990571,13.8139696,13.9794685,52.9140267,278.512435576503
"transport.total",306.751212,278.887321,271.216321,270.500309,265.292941,-1.92508763455794
"surplus.of.transport",3.03048908572853,4.33833171641388,5.09334008700752,5.16800463248269,19.9455087272752,285.942160382573
