"country","England without London","London","Scotland","Wales","Great Britain"
"Most recent year available","(2019-20)","(2019-20)","(2019-20)","(2019-20)","(2019-20)"
"Average annual change in income","295.729551",NA,"  4.525777","  4.673735"," 99.651610"
"Change in income since previous year"," 6.2386213","-0.1740552"," 4.8274933"," 2.5478990"," 3.5000445"
"Average annual change in expenditure","277.892922",NA,"  2.421295",NA," 91.750741"
"Change in expenditure since previous year","11.521386"," 2.933437"," 4.710155","-4.244775"," 8.551566"
"Average annual change in surplus","325.712124",NA,"  6.579357"," 43.391073","108.073360"
"Change in surplus since previous year"," 0.2977297","-2.0446320"," 4.9313674"," 0.6645888","-0.5230327"
