"auth.name","2015","2016","2017","2018","2019","change","change.4"
"Brighton & Hove",NA,30.335,32.56,36.669,36.301,-1.00357249993181,NA
"Birmingham",NA,20.237,19.733,23.631,26.677,12.8898480809107,NA
"Nottingham",NA,15.589,20.558,21.347,24.089,12.8448962383473,NA
"Bournemouth, Christchurch & Poole",NA,NA,NA,NA,21.978,NA,NA
"Bristol",NA,17.216,18.358,19.974837,19.444,-2.65752856956981,NA
"Newcastle upon Tyne",NA,16.944,17.439,17.47,17.738,1.53405838580424,NA
"Manchester",NA,14.465,16.932,17.23,17.689,2.6639582124202,NA
"Cornwall",NA,15.937,15.874,16.58,15.94,-3.86007237635705,NA
"Milton Keynes",NA,13.876,14.039,14.532,13.479,-7.24607762180017,NA
"Southampton",NA,7.214,9.655,6.931,12.123,74.909825422017,NA
"Bath & North East Somerset",NA,10.5729950101665,12.216030730799,11.7334964395003,11.98,2.10085341373505,NA
"Leeds",NA,12.584,13.467,11.816,11.895,0.668584969532844,NA
"Colchester",NA,10.788,11.059,11.473,11.73,2.24004183735727,NA
"Guildford",NA,12.321,12.427,12.287,11.712,-4.67974281761212,NA
"Liverpool",NA,9.484,11.747,11.483,11.574,0.792475833841323,NA
"Norwich",NA,9.895,10.509,10.676,10.471,-1.92019482952416,NA
"Cambridge",NA,10.386,10.136,10.416,10.234,-1.74731182795699,NA
"Portsmouth",NA,9.72,10.413,10.329,10.024,-2.9528511956627,NA
"Dorset",NA,NA,NA,NA,9.852,NA,NA
"Canterbury",NA,9.74,9.507,10.308,9.617,-6.70353123787348,NA
"Sheffield",NA,8.3584035217157,8.187,8.576,9.333,8.82695895522387,NA
"Windsor & Maidenhead",NA,8.173,8.106,8.899,9.16,2.93291381054053,NA
"Southend-on-Sea",NA,7.399,7.633,8.118,8.672,6.82434097068243,NA
"Woking",NA,8.302,8.228,8.378,8.604,2.69754117927906,NA
"Exeter",NA,6.799,7.389,8.335,8.498,1.95560887822435,NA
"York",NA,8.29,8.025,8.564,8.424,-1.63475011676788,NA
"Wiltshire",NA,7.715,7.602,8.241,8.309,0.825142579784014,NA
"Medway",NA,6.389,8.756,8.407,8.194,-2.53360294992268,NA
"Reading",NA,10.801,7.37391942,8.23,8.154,-0.923450789793449,NA
"Devon",NA,6.444,6.866,8.471,7.804,-7.87392279541966,NA
"Oxford",NA,7.30139,7.45991,7.011,7.373,5.16331479104264,NA
"Chelmsford",NA,7.862,7.59758,7.7288,7.37,-4.64237656557292,NA
"Cambridgeshire",NA,5.308,5.737,7.776,7.36,-5.34979423868313,NA
"Torbay",NA,6.634,6.395,7.708,7.228,-6.22729631551636,NA
"Plymouth",NA,0.695,0.884,0.9499746,7.216,659.59925665381,NA
"Surrey",NA,4.803,4.756,5.041,7.143,41.6980757786153,NA
"Winchester",NA,6.614,7.022,7.359,7.081,-3.77768718575892,NA
"Coventry",NA,5.208,6.429,6.12,7.066,15.4575163398693,NA
"Tunbridge Wells",NA,6.867,7.097,6.832,6.773,-0.863583138173311,NA
"King's Lynn & West Norfolk",NA,5.636,5.297,6.548323,6.592,0.666995198618039,NA
"Leicester City",NA,5.909,5.783,6.944,6.381,-8.10771889400921,NA
"Chichester",NA,6.305,6.398,6.469,6.358,-1.71587571494823,NA
"West Suffolk",NA,NA,NA,NA,6.205,NA,NA
"Gloucestershire",NA,4.52,4.493,5.407,6.202,14.7031625670427,NA
"Swindon",NA,6.024,5.874,6.03,6.123,1.54228855721392,NA
"Blackpool",NA,6.305,6.464,6.718,6.005,-10.6132777612385,NA
"St Albans",NA,3.816,4.028,6.66261889,5.873,-11.8514791711282,NA
"Lincoln",NA,4.199,4.227,5.2,5.703,9.67307692307693,NA
"Shropshire",NA,5.094,5.1186234122,5.5018534493,5.66,2.87442317679547,NA
"Waverley",NA,4.815,5.148,5.451,5.528,1.4125848468171,NA
"Scarborough",NA,5.356,5.282,5.43,5.447,0.313075506445685,NA
"Oxfordshire",NA,6.13,4.76,5.207,5.429,4.26349145381218,NA
"Bedford",NA,4.684,4.959,5.3849949920321,5.412,0.501486222510096,NA
"Bradford",NA,5.468,5.292,4.004,5.365,33.991008991009,NA
"Herefordshire",NA,4.653,4.866,5.348,5.333,-0.280478683620032,NA
"Derby City",NA,5.815,5.453,5.333,5.149,-3.4502156384774,NA
"Somerset West & Taunton",NA,NA,NA,NA,5.142,NA,NA
"Stoke-on-Trent",NA,4.512,4.608,4.713,5.118,8.59325270528326,NA
"East Hertfordshire",NA,4.543,4.81,4.964,5.029,1.30942788074134,NA
"Horsham",NA,4.437,4.918,4.959,5.013,1.08892921960073,NA
"South Lakeland",NA,5.158,5.456,5.069,4.99,-1.55849279936871,NA
"Cheltenham",NA,4.089,4.173,4.733,4.984,5.3031903655187,NA
"Stevenage",NA,4.4143,4.719,4.947,4.95,0.0606428138265613,NA
"Isle of Wight",NA,4.273,4.257,4.744,4.933,3.98397976391232,NA
"Kirklees",NA,4.941,5.062,4.918,4.922,0.0813338755591531,NA
"East Sussex",NA,4.928,5.112,5.005,4.902,-2.05794205794206,NA
"Solihull",NA,4.118,4.37928314123458,4.41682950632275,4.87,10.2600857250326,NA
"Ipswich",NA,3.943,3.869,4.775,4.837,1.29842931937172,NA
"Sefton",NA,5.067,4.899,4.865,4.733,-2.71325796505654,NA
"West Sussex",NA,3.632,3.673,4.303,4.679,8.73808970485707,NA
"Northampton",NA,NA,NA,4.362,4.595,5.34158642824391,NA
"Stockport",NA,3.561,4.206,4.6226,4.565,-1.24605200536493,NA
"Essex",NA,4.103,4.274,4.103,4.464,8.79844016573242,NA
"Elmbridge",NA,4.112,4.307,4.409932,4.342,-1.54043191595697,NA
"Warwickshire",NA,3.843,3.925,4.175,4.129,-1.10179640718565,NA
"Epsom & Ewell",NA,4.241,4.199,4.248,4.09,-3.71939736346518,NA
"Maidstone",NA,3.553,3.888,4.018,4.03,0.298656047784988,NA
"East Riding of Yorkshire",NA,3.865,4.054,4.278,3.959,-7.45675549322112,NA
"East Suffolk",NA,NA,NA,NA,3.919,NA,NA
"Durham",NA,3.725,3.891,3.99,3.784,-5.16290726817044,NA
