"variable","2015","2016","2017","2018","2019","2020"
"Income",249.649,235.464,NA,229.864,401.532,NA
"Expenditure",71.35,59.76,NA,69.648,134.094,NA
"Surplus",178.299,175.704,NA,160.216,267.438,NA
"Budgeted surplus",202.66,210.028,257.069,NA,257.069,248.645
"Expenditure as \% of income",28.5801264976026,25.379675874019,NA,30.2996554484391,33.3955948716416,NA
