"auth.name","2015","2016","2017","2018","2019","change","change.4","prop.income"
"Birmingham",NA,9.108,8.55,10.045,11.805,17.5211548033848,NA,44.2516025040297
"Brighton & Hove",NA,9.122,9.14,10.657,11.54,8.28563385568171,NA,31.7897578579103
"Plymouth",NA,0.01,0.025,0.03421999,9.697,28237.2379711391,NA,134.381929046563
"Colchester",NA,8.18,8.763,9.22,9.625,4.39262472885031,NA,82.0545609548167
"Newcastle upon Tyne",NA,9.479,8.898,8.677,9.11,4.9902039875533,NA,51.3586650129665
"Manchester",NA,6.714,7.564,7.571,8.936,18.0293224144763,NA,50.5172706201594
"Liverpool",NA,6.231,7.73,8.167,8.518,4.29778376392802,NA,73.5959910143425
"Bournemouth, Christchurch & Poole",NA,NA,NA,NA,8.114,NA,NA,36.9187369187369
"Bristol",NA,7.679,8.855,9.544623,7.994,-16.2460371666854,NA,41.1129397243366
"Nottingham",NA,5.041,6.024,8.061,7.657,-5.01178513832031,NA,31.7862924986508
"Norwich",NA,7.087,7.66,7.603,7.49,-1.48625542548993,NA,71.5308948524496
"Cornwall",NA,6.195,6.13,6.858,7.24,5.57013706620006,NA,45.4203262233375
"Surrey",NA,5.11,4.979,5.158,6.926,34.2768514928267,NA,96.9620607587848
"Guildford",NA,4.759,5.084,5.388,6.425,19.2464736451373,NA,54.8582650273224
"Portsmouth",NA,4.65,5.157,5.556,6.321,13.768898488121,NA,63.0586592178771
"Southampton",NA,3,2.839,0.944,6.034,539.194915254237,NA,49.7731584591273
"Oxford",NA,3.57542,4.04102,5.193,5.842,12.4975929135374,NA,79.2350467923505
"Leeds",NA,4.791,5.042,5.328,5.52,3.60360360360359,NA,46.40605296343
"Canterbury",NA,4.775,4.766,5.038,5.063,0.496228662167525,NA,52.6463554122907
"Essex",NA,4.398,4.437,4.356,4.676,7.346189164371,NA,104.749103942652
"Woking",NA,3.472,3.681,3.928,4.55,15.8350305498982,NA,52.882380288238
"Cambridge",NA,4.184,4.319,4.39,4.509,2.71070615034171,NA,44.0590189564198
"Stoke-on-Trent",NA,3.578,4.029,4.452,4.503,1.14555256064691,NA,87.9835873388042
"East Sussex",NA,3.467,3.637,3.765,4.5,19.5219123505976,NA,91.7992656058751
"North Yorkshire",NA,5.328,6.001,4.99,4.499,-9.83967935871745,NA,121.891086426443
"Oxfordshire",NA,3.469,3.819,4.619,4.481,-2.9876596665945,NA,82.5382206667895
"Bath & North East Somerset",NA,4.27130065642276,4.39174496467919,4.4694506448464,4.407,-1.39727787168682,NA,36.7863105175292
"Cambridgeshire",NA,2.579,3.121,5.103902,4.405,-13.6934839266114,NA,59.8505434782609
"Sheffield",NA,4.40813368730389,4.733,4.953,4.35,-12.1744397334949,NA,46.6088074574092
"Medway",NA,3.339,3.737,4.193,4.083,-2.62341998569042,NA,49.8291432755675
"Devon",NA,3.527,3.746,5.636,4.017,-28.7260468417317,NA,51.473603280369
"Bedford",NA,3.28,3.325,3.43752181192675,3.965,15.3447226499952,NA,73.2631189948263
"Dorset",NA,NA,NA,NA,3.962,NA,NA,40.2151847340642
"Windsor & Maidenhead",NA,3.63,3.273,3.633,3.945,8.58794384805945,NA,43.0676855895196
"St Albans",NA,2.373,2.275,4.87501825172315,3.819,-21.6618317551915,NA,65.0263919632215
"Wiltshire",NA,4.158,3.216,3.734,3.803,1.84788430637386,NA,45.7696473703213
"Reading",NA,7.628,3.36342543,3.623,3.793,4.69224399668782,NA,46.5170468481727
"Leicester City",NA,3.455,3.455,3.819,3.727,-2.40900759361089,NA,58.4077730763203
"King's Lynn & West Norfolk",NA,2.734,2.59,3.461826,3.722,7.51551348912396,NA,56.4623786407767
"West Suffolk",NA,NA,NA,NA,3.678,NA,NA,59.2747784045125
"West Sussex",NA,2.926,3.067,3.287,3.612,9.88743535138426,NA,77.195982047446
"Southend-on-Sea",NA,2.924,2.821,2.99,3.541,18.4280936454849,NA,40.8325645756458
"Coventry",NA,3.003,3.343,3.399,3.474,2.20653133274493,NA,49.1650155675064
"Tunbridge Wells",NA,3.618,3.161,3.008,3.424,13.8297872340426,NA,50.5536689797726
"East Hertfordshire",NA,3.699,3.499,3.494,3.4,-2.69032627361192,NA,67.6078743288924
"Bradford",NA,2.762,2.795,3.108,3.397,9.29858429858427,NA,63.3178005591799
"Winchester",NA,2.531,2.522,2.708,3.322,22.6735598227474,NA,46.9142776444005
"Hampshire",NA,2.882,2.952,3.149,3.275,4.00127024452206,NA,96.9508584961516
"Ipswich",NA,2.578,2.577,3.336,3.271,-1.94844124700239,NA,67.6245606781062
"Durham",NA,3.461,3.377,3.397,3.27,-3.73859287606712,NA,86.4164904862579
"Kirklees",NA,2.948,3.091,3.147,3.251,3.30473466793772,NA,66.0503860219423
"Peterborough",NA,1.571,1.747,2.23,3.157,41.5695067264574,NA,83.7400530503979
"Buckinghamshire",NA,NA,NA,5.456987,3.137,-42.5140649959401,NA,784.25
"Crawley",NA,1.799,2.083,2.364,3.06,29.4416243654822,NA,129.113924050633
"Chelmsford",NA,3.106,3.09649,2.83409,3.039,7.23018676188829,NA,41.2347354138399
"Shropshire",NA,2.435,2.3177254856,2.523989311,3.031,20.0876717975926,NA,53.5512367491166
"York",NA,2.447,2.578,2.776,3.014,8.5734870317003,NA,35.7787274453941
"Milton Keynes",NA,2.733,2.743,2.441,2.956,21.0979106923392,NA,21.930410267824
"Gloucestershire",NA,1.959,2.119,2.238,2.953,31.9481680071492,NA,47.6136730087069
"Swindon",NA,3.102,2.773,2.934,2.953,0.647580095432843,NA,48.2279928139801
"Horsham",NA,2.457,2.819,2.831,2.903,2.54327092900036,NA,57.9094354677838
"East Riding of Yorkshire",NA,2.557,2.696,2.53,2.815,11.2648221343874,NA,71.1038140944683
