"auth.name","2015","2016","2017","2018","2019","change","change.4","prop.income"
"Tunbridge Wells",NA,3618,3161,3008,3424,13.8297872340426,NA,50.5536689797726
"East Hertfordshire",NA,3699,3499,3494,3400,-2.69032627361192,NA,67.6078743288924
"Bradford",NA,2762,2795,3108,3397,9.2985842985843,NA,63.3178005591799
"Winchester",NA,2531,2522,2708,3322,22.6735598227474,NA,46.9142776444005
"Hampshire",NA,2882,2952,3149,3275,4.00127024452208,NA,96.9508584961516
"Ipswich",NA,2578,2577,3336,3271,-1.94844124700239,NA,67.6245606781063
"Durham",NA,3461,3377,3397,3270,-3.73859287606712,NA,86.4164904862579
"Kirklees",NA,2948,3091,3147,3251,3.30473466793772,NA,66.0503860219423
"Peterborough",NA,1571,1747,2230,3157,41.5695067264574,NA,83.7400530503979
"Buckinghamshire",NA,NA,NA,5456.987,3137,-42.5140649959401,NA,784.25
"Crawley",NA,1799,2083,2364,3060,29.4416243654822,NA,129.113924050633
"Chelmsford",NA,3106,3096.49,2834.09,3039,7.23018676188829,NA,41.2347354138399
"Shropshire",NA,2435,2317.7254856,2523.989311,3031,20.0876717975926,NA,53.5512367491166
"York",NA,2447,2578,2776,3014,8.5734870317003,NA,35.7787274453941
"Milton Keynes",NA,2733,2743,2441,2956,21.0979106923392,NA,21.930410267824
"Gloucestershire",NA,1959,2119,2238,2953,31.9481680071492,NA,47.6136730087069
"Swindon",NA,3102,2773,2934,2953,0.647580095432858,NA,48.2279928139801
"Horsham",NA,2457,2819,2831,2903,2.54327092900036,NA,57.9094354677838
"East Riding of Yorkshire",NA,2557,2696,2530,2815,11.2648221343874,NA,71.1038140944683
"Lancashire",NA,1802,2124,2546,2802,10.0549882168107,NA,83.741781231321
"Solihull",NA,1852,2012,2534.08345311726,2745,8.32318867096818,NA,56.3655030800821
"Derby City",NA,2435,2063.51,2646,2735,3.36356764928195,NA,53.1171101184696
"Exeter",NA,2203,2309,2548,2722,6.82888540031396,NA,32.0310661332078
"Blackpool",NA,2702,2730,2932,2697,-8.0150068212824,NA,44.9125728559534
"Luton",NA,2805,2233,2416,2670,10.5132450331126,NA,71.2379935965848
"South Lakeland",NA,2330,2958,2823,2650,-6.12823237690401,NA,53.1062124248497
"Stevenage",NA,1912.7,2231,2440,2643,8.31967213114754,NA,53.3939393939394
"Lincoln",NA,1819,1992,2332,2564,9.94854202401372,NA,44.9587936173944
"Sefton",NA,2563,2423,2457,2552,3.86650386650386,NA,53.9192900908515
"Stockport",NA,2558,2860,2727.5,2545,-6.69110907424381,NA,55.750273822563
"Slough",NA,2286.16752,2171.83941,2256,2497,10.6826241134752,NA,102.043318348999
"Chichester",NA,2058,2095,2252,2468,9.59147424511546,NA,38.8172381251966
"Sunderland",NA,2195,2216,2356,2399,1.82512733446521,NA,82.1856800274066
"Elmbridge",NA,2297,1849,1441.591,2375,64.7485313101983,NA,54.6982957162598
