"auth.name","2015","2016","2017","2018","2019","change"
"Westminster",NA,73.191100015,57.5823951,69.19121048,69.614,0.61104512707173
"Kensington & Chelsea",NA,32.174,34.467,37.341,38.839,4.01167617364291
"Camden",NA,26.75119944,19.599,25.977,28.989,11.5948723871117
"Wandsworth",NA,20.506,24.216,26.348,28.387,7.73872779717626
"Islington",NA,19.111,20.514,23.182,26.609,14.7830213096368
"Hammersmith & Fulham",NA,23.077,23.817,26.066,25.537,-2.02946366914755
"Haringey",NA,14.6350809212565,16.8408151721751,17.61519,19.681,11.7274352419701
"Lambeth",NA,11.92346343,12.14256215,16.973,16.658,-1.85588876450834
"Hackney",NA,14.505,15.613,15.536,15.543,0.045056642636454
"Brent",NA,10.534,11.87,10.9955281512628,12.517,13.8371875166584
"Croydon",NA,6.70276503,7.69870288,10.635223,12.513,17.656207114792
"Tower Hamlets",NA,9.504,10.59081801,11.7107,12.299,5.02361088577112
"Merton",NA,10.227,12.279,12.174,12.222,0.394282897979292
"Barnet",NA,8.643,10.6897810123124,13.6954825,12.221,-10.7661960796197
"City of London",NA,6.549,14.383,13.886,10.68,-23.0880023044793
"Newham",NA,8.886348,18.977,14.29,9.925,-30.5458362491253
"Waltham Forest",NA,5.15,6.842,9.479,9.102,-3.97721278615888
"Richmond upon Thames",NA,8.262,9.815,8.603,8.516,-1.01127513658026
"Harrow",NA,8.541980095,7.0474190867,8.462400329,7.824,-7.54396275501469
"Hounslow",NA,11.972,12.243,13.047,7.795,-40.2544646278838
"Kingston upon Thames",NA,6.646,7.52,6.39992249,6.865,7.26692410301359
"Southwark",NA,6.876,6.891,5.513,6.449,16.9780518773807
"Bromley",NA,6.123,6.196,6.33,6.442,1.76935229067932
"Redbridge",NA,5.323,7.493,7.165,6.135,-14.3754361479414
"Lewisham",NA,5.414,6.006,7.51454362,5.896,-21.538814621985
"Bexley",NA,2.772,3.071,4.793,5.13,7.03108700187773
"Barking & Dagenham",NA,3.12,3.28,4.724,4.658,-1.39712108382727
"Greenwich",NA,3.434,3.422,3.871,4.509,16.481529320589
"Ealing",NA,-0.637,6.811,12.789,3.947,-69.1375400735007
"Havering",NA,2.271,4.772,4.285,3.035,-29.171528588098
"Enfield",NA,2.2400852248781,-0.348605587,1.828,2.968,62.363238512035
"Hillingdon",NA,2.286,2.38928246,2.685,2.405,-10.4283054003724
"Sutton",NA,1.736,1.488,1.314,1.218,-7.30593607305936
"Total deficit",NA,-0.637,-0.348605587,NA,NA,NA
"Total surplus",NA,379.087022156135,406.566775871188,454.419200570263,445.128,-2.04463203988807
"Total",0,378.450022156135,406.218170284188,454.419200570263,445.128,-2.04463203988807
