"collapsed","variable","london","rest","total","prop"
"Income","On-street","683","337","1,020","67.0\%"
"Income","Off-street","44","667","711"," 6.2\%"
"Income","Total","727","1,004","1,730","42.0\%"
"Expenditure","On-street","250","204","454","55.1\%"
"Expenditure","Off-street","31","354","385"," 8.2\%"
"Expenditure","Total","282","558","840","33.5\%"
"Surplus","On-street","433","133","565","76.5\%"
"Surplus","Off-street","12","313","325"," 3.8\%"
"Surplus","Total","445","446","891","50.0\%"
