"collapsed","variable","2015","2016","2017","2018","2019","2019 budget","2020 budget","change"
"On-street","Total Income",1.239,871.878766839871,933.115554474685,994.268436147222,1019.527,NA,NA,2.54041694722349
"On-street","Expenditure",1.59,400.607159009437,416.936478845353,426.603578260919,454.129,NA,NA,6.45222476831779
"On-street","Surplus",-0.351,471.271607830434,516.179075629332,567.664857886303,565.398,NA,NA,-0.399330318727786
"Off-street","Total Income",2.869,624.531210780211,638.282845722248,678.685290422213,710.873,NA,NA,4.7426561370975
"Off-street","Expenditure",1.155,308.815679793202,316.355534394027,347.549843731432,385.4,NA,NA,10.8905692093525
"Off-street","Surplus",1.714,315.715530987009,321.927311328221,331.135446690781,325.473,NA,NA,-1.7100092265473
"All parking","Total Income",4.108,1496.40997762008,1571.39840019693,1672.95372656944,1730.4,NA,NA,3.4338232144866
"All parking","Expenditure",2.745,709.422838802639,733.292013239381,774.153421992351,839.529,NA,NA,8.44478318514685
"All parking","Surplus",1.363,786.987138817443,838.106386957553,898.800304577084,890.871,884.699,918.14,-0.882209823105817
"All England transport","Net Expenditure",NA,4012.82509003497,3996.98446488921,3857.44544720912,3757.41,4864.032,3915.182,-2.59330815116249
"","Parking surplus as percentage of net transport expenditure",NA,19.6117977026152,20.9684674614011,23.3004022189704,23.7097096138031,18.1885933316228,23.4507616759578,NA
