"auth.name","2017","2018","2019","2020","2021","income.per.pcn"
"Aberdeen City",40392,38967,36842,35295,25721,76.9221647680883
"Angus",6273,6626,8217,2404,3988,12.6186058174524
"Argyll and Bute",6269,6696,5775,4401,5659,29.5905637038346
"Dundee City",21837,29130,31949,18680,21634,58.7373578626236
"East Ayrshire",6262,6900,6097,2550,6801,38.1421849727981
"East Dunbartonshire",5301,6348,6137,4900,10890,33.0211202938476
"East Lothian",10040,9540,10063,10154,12107,24.4062938795738
"East Renfrewshire",5176,4859,3614,77,721,38.6588072122053
"Edinburgh City",191563,183965,191479,98721,156047,29.4609829089954
"Falkirk",NA,2881,7689,2741,6315,19.1163895486936
"Fife",21890,21768,19864,7294,13011,64.6368457459073
"Glasgow City",125505,146412,152579,65686,109297,28.7239356981436
"Highland",9477,10000,10386,8070,12812,27.0863253200125
"Inverclyde",8059,9117,8635,1017,4327,38.704183036746
"Midlothian",NA,6855,6939,4696,6827,25.4113080415995
"North Lanarkshire",NA,6018,11863,2707,9003,25.8702654670665
"Perth and Kinross",14469,15852,13401,5872,18955,44.4177789501451
"Renfrewshire",6823,6974,5191,2470,4070,22.0906633906634
"South Ayrshire",5824,7213,8991,3025,7951,28.3417180228902
"South Lanarkshire",20952,21281,22320,5065,13341,30.9066786597706
"Stirling",9975,9586,12189,4551,11029,25.3676670595702
"Total",516087,556988,580220,290376,460506,34.4795138391248
