"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2021-22)","(2020-21)","(2021-22)","(2021-22)","(2020-21)"
"Parking income","1725.18700"," 590.19700","  78.52600","  36.94306","1174.86683"
"Parking expenditure","869.378000","286.215000"," 47.391000"," -8.412915","846.177566"
"Surplus","855.80900","303.98200"," 31.13500"," 45.35597","328.68926"
"Surplus as proportion of income"," 49.60674"," 51.50518"," 39.64929","122.77265"," 27.97673"
