"rowname","2017","2018","2019","2020","2021","change"
"income.total",88.215,88.554,92.82893838,42.742,78.526,83.7209302325581
"expend.total",43.648,41.582,43.54057649,44.667,47.391,6.09846195177649
"surplus.total",44.567,46.972,49.28836189,-1.925,31.135,-1717.4025974026
"transport.total",426.734,375.318,365.95961749,455.961,404.807,-11.2189419709142
"surplus.of.transport",10.4437424718912,12.5152537315024,13.4682515595718,-0.422185230754385,7.69131956710235,-1921.78792786263
