"auth.name","2014","2015","2016","2017","2018","2019","2020","2021"
"Scottish DPE authorties",19.6825723003449,18.9636280636782,20.0028482507236,19.9554554214136,19.9767983377374,20.5656881713441,20.9383369987366,20.2200837939027
"London",45.0984253071965,NA,42.0115310284194,43.125987207721,41.8869451996506,34.7672263252845,36.1784285585999,NA
"England without London",12.2949594040934,12.8773125608569,12.8731302558862,13.5267773295882,12.2322956633742,13.3148038318875,15.1431325705185,26.0609429586474
