"auth.name","2017","2018","2019","2020","2021","change","change.4"
"Westminster",88.82898869,86.56894332,74.434,67.356,94.974,41.0030286834135,1.6863135179374
"Kensington & Chelsea",46.736,49.741,52.586,39.013,50.232,28.757080973009,1.81979835134143
"Lambeth",21.406276,33.31,35.254,34.027,49.464,45.3669145090663,23.292604856302
"Camden",36.369,39.494,44.049,34.663,47.598,37.316446931887,6.95826172408334
"Hammersmith & Fulham",36.732,39.309,39.14,29.307,46.875,59.9447231036954,6.28553826025753
"Islington",32.867,36.081,37.84,30.975,45.136,45.7175141242938,8.25320196882069
"Hackney",27.61,28.416,28.458,33.768,39.938,18.2717365553186,9.6680134156665
"Wandsworth",31.923,34.315,36.582,30.815,37.601,22.0217426577965,4.17749833859404
"Haringey",27.52468868,28.37146,32.469,18.761,35.962,91.6848782047865,6.91296040990297
"Ealing",24.514,29.971,21.377,23.536,35.756,51.9204622705642,9.89645585415211
"Waltham Forest",16.404,19.684,21.126,16.882,26.184,55.1001066224381,12.4013579065066
"Southwark",15.213,14.814,15.31,15.801,25.746,62.9390544902221,14.0574676336387
"Tower Hamlets",19.25134432,20.2527,20.568,19.639,24.183,23.1376342990987,5.86740760364055
"Croydon",14.14129999,18.20724778,20.532,16.456,23.85,44.931939718036,13.9592971386943
"Brent",21.098,20.942,21.589,17.254,20.407,18.2740234148603,-0.829051009278481
"Merton",18.416,18.665,18.398,13.282,19.737,48.5996084926969,1.74696386228477
"Barking & Dagenham",6.814,8.648,8.846,10.114,17.579,73.8085821633379,26.7354202362035
"City of London",24.054,23.421,22.559,17.23,17.138,-0.53395240858967,-8.12587668592769
"Hounslow",12.846,14.071,13.501,10.174,16.854,65.6575584824061,7.02463810474874
"Richmond upon Thames",15.515,15.57,16.059,12.469,16.729,34.1647285267463,1.90125912204637
"Barnet",20.42211325,21.57278653,22.879,14.23,15.692,10.2740688685875,-6.37444507497529
"Newham",25.306,23.697,22.369,20.87,14.737,-29.3866794441783,-12.6432647475227
"Redbridge",11.673,12.534,11.092,8.463,14.302,68.9944464138013,5.20916457350784
"Lewisham",8.979,9.92015001,8.161,9.497,13.974,47.1412024849953,11.6922891193063
"Greenwich",8.416,9.421,10.585,6.314,11.411,80.7253721887868,7.90821153894901
"Harrow",11.9857634227,13.167,13.075,7.586,11.019,45.2544160295281,-2.08051504895487
"Bromley",9.728,10.1,11.353,7.996,10.688,33.6668334167084,2.3807297520142
"Havering",11.412,11.246,10.325,6.015,8.783,46.0182876142976,-6.33652209343125
"Hillingdon",7.23396574,7.642,7.279,4.286,7.143,66.6588894073729,-0.315863632299263
"Bexley",5.604,7.259,7.011,1.541,6.867,345.619727449708,5.21247335402677
"Kingston upon Thames",11.837,11.70376492,11.963,6.258,6.085,-2.76446148929369,-15.3250919441981
"Enfield",6.772238,7.557,7.713,4.541,5.911,30.1695661748513,-3.34325033696986
"Sutton",2.342,2.288,2.211,1.078,5.85,442.671614100185,25.7164890761125
"Total for London",679.9746780927,727.96005256,726.693,590.197,824.405,39.6830210929571,4.93297097525724
"Total for rest of England",891.423722104234,927.333674009435,987.809,520.731,891.127,71.1300076238979,-0.00832261757268693
"Total for all of England",1571.39840019693,1655.29372656944,1714.502,1110.928,1715.532,54.4233289646134,2.21817650100882
