"auth.name","2017","2018","2019","2020","2021","change","change.4","prop.income"
"Manchester",7.564,7.571,8.936,8.747,13.68,56.3964787927289,15.9667922409907,55.9166155732679
"Brighton & Hove",9.14,10.657,11.54,11.114,12.572,13.1185891668166,8.2965307028076,29.6635364069652
"Colchester",8.763,9.22,9.625,10.651,10.439,-1.9904234344193,4.47238792177294,91.5541133134538
"Plymouth",0.025,0.03421999,9.697,6.064,9.144,50.7915567282322,337.319710745023,110.702179176755
"Newcastle upon Tyne",8.898,8.677,9.11,7.94,8.678,9.29471032745593,-0.62393153793987,55.4859335038363
"Bournemouth, Christchurch & Poole",NA,NA,8.114,NA,8.644,NA,NA,39.671393822571
"Bristol",8.855,9.544623,7.994,7.657,8.346,8.99830220713073,-1.46909909792584,53.1220164216154
"Liverpool",7.73,8.167,8.518,7.747,8.139,5.06002323480057,1.29730440942095,70.181943606105
"Birmingham",8.55,10.045,11.805,9.491,8.117,-14.4768728268886,-1.29086234990242,49.4788174337092
"Buckinghamshire UA",NA,NA,NA,7.634,7.912,3.64160335341892,NA,98.005698005698
"Nottingham",6.024,8.061,7.657,6.61,6.968,5.41603630862329,3.70645635721243,38.7433972755074
"Cornwall",6.13,6.858,7.24,6.524,6.804,4.29184549356223,2.64220132593758,45.6032171581769
"Norwich",7.66,7.603,7.49,7.652,6.536,-14.5844223732358,-3.88950401305066,69.9785867237687
"Cambridgeshire",3.121,5.103902,4.405,4.652,6.385,37.2527944969905,19.5960354477656,108.275394268272
"Portsmouth",5.157,5.556,6.321,5.34,6.321,18.3707865168539,5.21972556458219,57.568306010929
"Southampton",2.839,0.944,6.034,5.832,6.088,4.38957475994512,21.0116862794759,67.2484259361538
"East Sussex",3.637,3.765,4.5,4.088,5.993,46.5998043052838,13.2987828044629,95.0967946683593
"Essex",4.437,4.356,4.676,4.736,5.682,19.9746621621622,6.37827659761345,100.601983002833
"Surrey",4.979,5.158,6.926,6.35,5.267,-17.0551181102362,1.41572461151038,84.272
"Canterbury",4.766,5.038,5.063,4.141,5.227,26.2255493842067,2.33509934893721,49.2091884767464
"King's Lynn & West Norfolk",2.59,3.461826,3.722,3.7,5.142,38.972972972973,18.7020111102484,63.489319669095
"Oxford",4.04102,5.193,5.842,5.253,4.933,-6.091757091186,5.11266056508544,87.278839348903
"Leeds",5.042,5.328,5.52,5.138,4.884,-4.94355780459323,-0.79279746459795,46.4788732394366
"Stoke-on-Trent",4.029,4.452,4.503,4.83,4.515,-6.5217391304348,2.88809395625746,112.425298804781
"Oxfordshire",3.819,4.619,4.481,0.621,4.486,622.383252818035,4.10639374048036,76.6313631704817
