"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2021-22)","(2021-22)","(2021-22)","(2021-22)","(2021-22)"
"Parking income"," 895.73200"," 824.40500","  78.52600","  36.94306","1835.60606"
"Parking expenditure","550.731000","315.814000"," 47.391000"," -8.412915","905.523085"
"Surplus","345.00100","508.59100"," 31.13500"," 45.35597","930.08297"
"Surplus as proportion of income"," 38.51610"," 61.69189"," 39.64929","122.77265"," 50.66899"
