"country","England without London","London","Scotland","Wales","Great Britain"
"Most recent year available","(2021-22)","(2021-22)","(2021-22)","(2021-22)","(2021-22)"
"Average annual change in income"," 0.03713477"," 4.93297098","-2.86678597","-1.02269770"," 1.92090996"
"Change in income since previous year"," 71.10874"," 39.68302"," 83.72093","116.93148"," 56.42737"
"Average annual change in expenditure","4.561254","3.637453","2.078171",NA,"3.074613"
"Change in expenditure since previous year","   9.195544","  10.341526","   6.098462","-191.240772","   7.231585"
"Average annual change in surplus","-5.5575615"," 5.7797001","-8.5762845","33.1727437"," 0.8571023"
"Change in surplus since previous year"," 1703.07829","   67.30958","-1717.40260","  480.79715","  182.69977"
