"collapsed","variable","london","rest","total","prop"
"Income","On-street","746","317","1,064","70.2\%"
"Income","Off-street","78","574","652","12.0\%"
"Income","Total","824","891","1,716","48.1\%"
"Expenditure","On-street","290","209","499","58.1\%"
"Expenditure","Off-street","26","340","365"," 7.1\%"
"Expenditure","Total","316","549","865","36.5\%"
"Surplus","On-street","456","108","565","80.9\%"
"Surplus","Off-street","52","234","286","18.2\%"
"Surplus","Total","509","342","851","59.8\%"
