"auth.name","2017","2018","2019","2020","2021","change"
"Westminster",57.5823951,69.19121048,69.614,49.366,64.172,29.9923023943605
"Kensington & Chelsea",34.467,37.341,38.839,26.746,38.029,42.1857474014806
"Islington",20.514,23.182,26.609,19.331,32.875,70.0636283689411
"Camden",19.599,25.977,28.989,20.985,32.452,54.6437931856088
"Wandsworth",24.216,26.348,28.387,23.156,29.73,28.3900500950078
"Hammersmith & Fulham",23.817,26.066,25.537,14.124,29.332,107.674879637496
"Hackney",15.613,15.536,15.543,21.291,25.598,20.2292048283312
"Haringey",16.8408151721751,17.61519,19.681,6.093,22.561,270.277367470868
"Lambeth",12.14256215,16.973,16.658,14.806,22.142,49.5474807510469
"Croydon",7.69870288,10.635223,12.513,9.319,17.124,83.7536216332224
"Ealing",6.811,12.789,3.947,2.25,16.203,620.133333333333
"Tower Hamlets",10.59081801,11.7107,12.299,11.525,15.225,32.1041214750542
"Southwark",6.891,5.513,6.449,7.094,15.016,111.67183535382
"Newham",18.977,14.29,9.925,10.25,13.523,31.9317073170732
"Barking & Dagenham",3.28,4.724,4.658,5.685,13.13,130.958663148637
"Waltham Forest",6.842,9.479,9.102,6.218,13.018,109.35992280476
"Merton",12.279,12.174,12.222,7.09,12.173,71.6925246826516
"Brent",11.87,10.9955281512628,12.517,7.224,11.458,58.610188261351
"Hounslow",12.243,13.047,7.795,4.951,11.204,126.297717632801
"City of London",14.383,13.886,10.68,9.351,10.204,9.12201903539729
"Barnet",10.6897810123124,13.6954825,12.221,4.498,9.043,101.044908848377
"Redbridge",7.493,7.165,6.135,3.485,8.958,157.044476327116
"Richmond upon Thames",9.815,8.603,8.516,4.739,7.94,67.5458957585989
"Lewisham",6.006,7.51454362,5.896,7.882,7.442,-5.58233950773915
"Greenwich",3.422,3.871,4.509,2.526,7.343,190.696753760887
"Harrow",7.0474190867,8.462400329,7.824,2.587,6.009,132.276768457673
"Bexley",3.071,4.793,5.13,-1.074,3.984,NA
"Bromley",6.196,6.33,6.442,0.59,3.929,565.932203389831
"Hillingdon",2.38928246,2.685,2.405,-0.605,3.143,NA
"Havering",4.772,4.285,3.035,0.909,3.097,240.704070407041
"Enfield",-0.348605587,1.828,2.968,0.133,2.292,1623.30827067669
"Sutton",1.488,1.314,1.218,0.094,0.813,764.893617021277
"Kingston upon Thames",7.52,6.39992249,6.865,1.363,-0.571,NA
"Total deficit",-0.348605587,NA,NA,-1.679,-0.571,-65.9916617033949
"Total surplus",406.566775871188,454.419200570263,445.128,305.661,509.162,66.5773520337891
"Total",406.218170284188,454.419200570263,445.128,303.982,508.591,67.3095775407755
