"auth.name","2017","2018","2019","2020","2021","change","change.4"
"Cardiff",8629.129,9739.051,9550.705,3420.952,7010.813,104.937485238027,-5.05975339412665
"Swansea",5931.514,6978.206,6441.135,2714.982,5188.101,91.0915431483523,-3.29237548494326
"Gwynedd",2539,2697,2699,1507,2795,85.4678168546782,2.43061442930186
"Carmarthenshire",3035.068,2882.176,2709.112,970.959,2413.92,148.611939330085,-5.56377639923084
"Pembrokeshire",1916,2173,2065,1120,2329,107.946428571429,5.00101469014274
"Conwy",1903.485,2226.772,2391.333,1015.135,2237.377,120.401916986411,4.12318103034723
"Powys",1652.771,1682.738,1741.167,720.8187,1776.689,146.482090434113,1.82388951163837
"Denbighshire",1516.686,1514.699,1584.92,652.3862,1672.22,156.323631615752,2.47063649934485
"Rhondda Cynon Taf",1089.778,1323.964,1764.012,935.982,1598.661,70.8004000076925,10.0536842649482
"Vale of Glamorgan",737,807,738,628,1567,149.522292993631,20.7536806364919
"Monmouthshire",1534.746,1445.502,1491.96,616.859,1494.82,142.327663209907,-0.656810924778217
"Newport",591.316,649.2,636.542,501.693,1254.872,150.127468392025,20.6965759219679
"Bridgend",1138.637,1211.064,1712.138,673.114,1229.532,82.6632635779377,1.93859324855659
"Ceredigion",1055.016,1058.19,1258.601,151.657,1203.526,693.584206465907,3.34729351636354
"Neath Port Talbot",1499.981,1652.472,1721.945,411.494,1072.182,160.558355650386,-8.05127987193552
"Isle of Anglesey",639,682,599,263,674,156.273764258555,1.34206736458837
"Merthyr Tydfil",725.231,683.738,696.613,292.107,462.959,58.4895260983133,-10.6146092763492
"Wrexham",1112.864,1067.222,1091.644,113.2002,443.8059,292.053989303906,-20.5328304863333
"Flintshire",570.91,721.118,925.431,45.785,415.581,807.679370973026,-7.63190040869559
"Torfaen",4,6,108,75,73,-2.66666666666666,106.688216225763
"Blaenau Gwent",30.211,39.5,30,30,30,0,-0.175064453371343
"Caerphilly",641.423,688.405,1041.068,169.704,0,-100,-100
"Total",38493.766,41929.017,42997.326,17029.8281,36943.0589,116.931484469887,-1.02269770396174
