"auth.name","2017","2018","2019","2020","2021","change","change.4","prop.income"
"Neath Port Talbot",1331.721,-172.614,-262.76,1091.855,480.193,-56.0204422748442,-22.5091108442398,44.7865194528541
"Caerphilly",550.429,301.865,-17.45884,639.318,339.015,-46.9723987123779,-11.4110810956846,-Inf
"Torfaen",82,115,302,241,321.6,33.4439834024896,40.7263899685365,440.547945205479
"Blaenau Gwent",483.275,323.1569,379.2382,316.401,313.3417,-0.966905920019229,-10.2662192079993,1044.47233333333
"Wrexham",812.1624,-402.687,-444.9608,581.0129,194.1587,-66.5827213130724,-30.0756409764095,43.7485621529592
"Flintshire",678.484,-321.412,-361.494,585.473,80.011,-86.3339556222063,-41.3993380319843,19.252805108992
"Newport",285.733,-181.212,-311.91,127.309,42.485,-66.6284394661807,-37.9032593523747,3.38560426880192
"Merthyr Tydfil",510.397,-279.725,-279.157,100.087,-7.804,-107.797216421713,NA,-1.68567842940736
"Bridgend",888.598,-204.34,-323.807,434.992,-15.615,-103.589721190275,NA,-1.26999541288881
"Rhondda Cynon Taf",905.616,-69.144,-374.724,425.922,-37.901,-108.898577673846,NA,-2.37079656037146
"Carmarthenshire",2114.892,-957.179,-760.733,1171.791,-223.785,-119.097688922342,NA,-9.27060548816862
"Isle of Anglesey",351,-303,-273,92,-367,-498.913043478261,NA,-54.4510385756677
"Ceredigion",567.214,-486.015,-619.4137,489.415,-531.4743,-208.593790545856,NA,-44.1597688791102
"Denbighshire",1052.62,-445.238,-406.5202,389.9735,-566.4348,-245.249561829201,NA,-33.8732224228869
"Monmouthshire",670.785,-778.198,-676.182,115.706,-643.62,-656.254645394362,NA,-43.0566890996909
"Vale of Glamorgan",686,-101,-108,73,-676,-1026.02739726027,NA,-43.1397574984046
"Powys",821.52,-860.117,-882.75,152.5052,-775.6895,-608.631508958383,NA,-43.6592729509779
"Pembrokeshire",1319,-803,-759,182,-869,-577.472527472527,NA,-37.3121511378274
"Cardiff",4764.262,-4448.158,-3991.422,2267.439,-1023.904,-145.156848761973,NA,-14.6046400039482
"Conwy",954.178,-1168.698,-1233.072,51.488,-1257.254,-2541.83887507769,NA,-56.1932119620431
"Gwynedd",1157,-1562,-1389,-298,-1422,377.181208053691,NA,-50.8765652951699
"Swansea",3086.619,-3280.923,-2607.755,-10.122,-1766.238,17349.4961470065,NA,-34.0440172618074
"Total",24073.5054,-16084.6381,-15401.88134,9220.5656,-8412.9152,-191.24077160733,NA,-22.7726545946632
