"rowname","2017","2018","2019","2020","2021","change"
"income.total",38.493766,41.929017,42.997326,17.0298281,36.9430589,116.931484469887
"expend.total",24.0735054,-16.0846381,-15.40188134,9.2205656,-8.4129152,-191.24077160733
"surplus.total",14.4202606,58.0136551,58.39920734,7.8092625,45.3559741,480.797150819299
"transport.total",265.292941,267.073891,270.525032,310.384693,294.802693,-5.02022179296064
"surplus.of.transport",5.43559905727005,21.7219492638462,21.5873580748712,2.51599472400528,15.385196667793,511.495585463743
