"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2018-19)","(2018-19)","(2021-22)","(2021-22)","(2019-20)"
"Parking income","1021.3","728.0","78.5","36.9","135.8"
"Parking expenditure","539.6","273.5","47.4","-8.4","28.1"
"Surplus","481.7","454.4","31.1","45.4","107.7"
"Surplus as proportion of income"," 47.16194"," 62.42365"," 39.64929","122.77265"," 79.28332"
