"auth.name","2014","2015","2016","2017","2018"
"Edinburgh City",32.976751370974,30.1493937644342,27.6675266256532,26.8368349920138,25.85819402112
"Glasgow City",37.004160887656,35.5760368663594,34.4107310795426,37.5584984566365,33.6426312788347
"Aberdeen City",48.3505154639175,57.7569872098532,59.9626865671642,60.4382517565797,63.2990214766807
"Fife",90.9448818897638,93.9486139283299,86.9051052783386,89.5222129086337,86.6806502359727
"Dundee City",69.1692466460268,63.3221850613155,75.9264196214343,66.7648213584609,58.715953307393
"Perth and Kinross",76.9890260631001,92.2619047619048,82.4440619621343,77.4883720930233,75.2397067117879
"Stirling",93.1154036651808,90.2453620586475,95.4320987654321,76.3300270513976,81.421568627451
"South Lanarkshire",73.3888645330995,74.4110479285134,72.108843537415,66.021978021978,67.7966101694915
"Highland",70.2143385070214,73.6668861092824,73.4986225895317,71.3904931141715,55.7210031347962
"East Ayrshire",83.1212324179504,62.9581151832461,53.3519553072626,81.4779270633397,71.9440353460972
"Argyll and Bute",67.5621890547264,66.6666666666667,66.6666666666667,67.0152091254753,70.0251889168766
"Aberdeenshire",79.5275590551181,136.538461538462,120.696721311475,141.083521444695,138.412017167382
"Renfrewshire",50.7996237064911,34.5215759849906,27.4714828897338,41.5279138099902,53.3333333333333
"East Dunbartonshire",711.111111111111,1035.84905660377,185.326086956522,158.823529411765,86.709886547812
"South Ayrshire",68.258064516129,Inf,59.4776748104465,65.3498871331828,50.0495540138751
"East Lothian",NA,NA,202.380952380952,101.091703056769,100.207468879668
"Inverclyde",159.235668789809,90.5487804878049,89.8701298701299,100.252525252525,91.3214990138067
"North Ayrshire",445.077720207254,169.090909090909,172.307692307692,236.216216216216,204.615384615385
"East Renfrewshire",136.492890995261,179.14691943128,159.722222222222,174.093264248705,181.592039800995
"Midlothian",Inf,Inf,Inf,Inf,184.536082474227
"Moray",64.6268656716418,62.4082232011747,52.463768115942,64.2011834319527,40.0916380297824
"Scottish Borders",286.614173228346,247.517730496454,224.137931034483,234.545454545455,179.032258064516
"Falkirk",87.1121718377088,100,69.2640692640693,66.9099756690998,61.2476370510397
"Dumfries and Galloway",1542.85714285714,1771.42857142857,1400,1252.94117647059,1818.18181818182
"West Lothian",Inf,Inf,Inf,Inf,Inf
"Angus",2216.66666666667,1900,3166.66666666667,Inf,39.6011396011396
"Orkney Islands",112.5,115.294117647059,121.818181818182,89.9328859060403,90.6666666666667
"Na h-Eileanan an Iar",226.315789473684,251.351351351351,283.333333333333,276.595744680851,155.405405405405
"West Dunbartonshire",Inf,Inf,Inf,Inf,Inf
"Clackmannanshire",746.666666666667,657.142857142857,NA,NA,130.30303030303
"Shetland Islands",96.551724137931,98.6111111111111,133.333333333333,85.7142857142857,253.846153846154
"North Lanarkshire",NA,NA,NA,NA,NA
"Total",52.0748209074025,50.8795617622097,48.4057304091938,49.4791135294451,46.9566592135872
