"auth.name","2014","2015","2016","2017","2018","income.per.pcn"
"Aberdeen City",46450,37754,37754,40392,38967,35.4886185746914
"Angus",NA,NA,NA,6273,6626,30.8705101116813
"Argyll and Bute",5929,8123,13018,6269,6696,31.4399641577061
"Dundee City",25415,31332,29266,21837,29130,30.2524888431171
"East Ayrshire",6232,5391,5995,6262,6900,41.5847826086957
"East Dunbartonshire",3948,3331,4704,5301,6348,33.9886578449905
"East Lothian",NA,NA,953,10040,9540,33.0890985324948
"East Renfrewshire",4322,5696,3742,5176,4859,38.4581189545174
"Edinburgh City",179340,184964,192381,191563,183965,28.7699997282092
"Falkirk",NA,NA,NA,NA,2881,19.8962165914613
"Fife",19248,19904,20142,21890,21768,27.7992925395075
"Glasgow City",116937,118902,133901,125505,146412,34.3100633827828
"Highland",NA,NA,4101,9477,10000,30.6958
"Inverclyde",3439,6260,7200,8059,9117,45.1876713831304
"Midlothian",NA,NA,NA,NA,6855,23.5215171407732
"North Lanarkshire",NA,NA,NA,NA,6018,25.0244267198405
"Perth and Kinross",9077,7133,7805,14469,15852,37.0919126924047
"Renfrewshire",7497,7588,6160,6823,6974,23.5018640665328
"South Ayrshire",6716,5968,5238,5824,7213,31.2072646610287
"South Lanarkshire",22412,23513,23693,20952,21281,34.0585498801748
"Stirling",NA,NA,NA,9975,9586,30.745357813478
"Total",456962,465859,496053,516087,556988,31.7605657572515
