"country","England without London","London","Scotland","Wales","Great Britain"
"Fiscal year","(2018-19)","(2018-19)","(2021-22)","(2021-22)","(2019-20)"
"Parking income","1021.30190"," 727.96005","  78.52600","  36.94306"," 135.82626"
"Parking expenditure","539.636084","273.540852"," 47.391000"," -8.412915"," 28.138695"
"Surplus","481.66582","454.41920"," 31.13500"," 45.35597","107.68757"
"Surplus as proportion of income"," 47.16194"," 62.42365"," 39.64929","122.77265"," 79.28332"
