"auth.name","income.total","expend.total","surplus.total","income.tfs","expend.tfs","surplus.tfs","income.diff","expend.diff","surplus.diff"
"Aberdeen City",7869,4981,2888,8658.287,3867.695,4790.592,-789.287,1113.305,-1902.592
"Aberdeenshire",466,645,-179,NA,NA,NA,NA,NA,NA
"Angus",351,139,212,204.548,313.207,-108.659,146.452,-174.207,320.659
"Argyll and Bute",1191,834,357,1216.031,323.128,892.903,-25.0309999999999,510.872,-535.903
"Clackmannanshire",33,43,-10,NA,NA,NA,NA,NA,NA
"Dumfries and Galloway",11,200,-189,NA,NA,NA,NA,NA,NA
"Dundee City",5140,3018,2122,5130.138,3579.722,1550.416,9.86200000000008,-561.722,571.584
"East Ayrshire",1358,977,381,1347.356,795.459,551.897,10.644,181.541,-170.897
"East Dunbartonshire",617,535,82,528.747,299.915,228.832,88.253,235.085,-146.832
"East Lothian",482,483,-1,585.14,468.169,116.971,-103.14,14.831,-117.971
"East Renfrewshire",201,365,-164,186.868,238.506,-51.638,14.132,126.494,-112.362
"Edinburgh City",32481,8399,24082,31250.04,8602.669,22647.371,1230.96,-203.669,1434.629
"Falkirk",529,324,205,247.018,361.568,-114.55,281.982,-37.568,319.55
"Fife",3814,3306,508,3659.372,2882.505,776.867,154.628,423.495,-268.867
"Glasgow City",19291,6490,12801,22174.388,7242.852,14931.536,-2883.388,-752.852,-2130.536
"Highland",2552,1422,1130,821.936,717.897,104.039,1730.064,704.103,1025.961
"Inverclyde",507,463,44,434.44,375.798,58.642,72.56,87.202,-14.642
"Midlothian",194,358,-164,192.312,297.993,-105.681,1.68799999999999,60.007,-58.319
"Moray",873,350,523,NA,NA,NA,NA,NA,NA
"Na h-Eileanan an Iar",74,115,-41,NA,NA,NA,NA,NA,NA
"North Ayrshire",195,399,-204,NA,NA,NA,NA,NA,NA
"North Lanarkshire",0,0,0,150.597,394.071,-243.474,-150.597,-394.071,243.474
"Orkney Islands",150,136,14,NA,NA,NA,NA,NA,NA
"Perth and Kinross",3546,2668,878,3552.141,2586.956,965.185,-6.14100000000008,81.0439999999999,-87.1849999999999
"Renfrewshire",1080,576,504,1077.413,547.13,530.283,2.58699999999999,28.87,-26.283
"Scottish Borders",186,333,-147,NA,NA,NA,NA,NA,NA
"Shetland Islands",13,33,-20,NA,NA,NA,NA,NA,NA
"South Ayrshire",1009,505,504,995.73,420.349,575.381,13.27,84.651,-71.3810000000001
"South Lanarkshire",2301,1560,741,2301.367,2298.66,2.70700000000033,-0.367000000000189,-738.66,738.293
"Stirling",2040,1661,379,998.27,426.114,572.156,1041.73,1234.886,-193.156
"West Dunbartonshire",0,91,-91,NA,NA,NA,NA,NA,NA
"West Lothian",0,173,-173,NA,NA,NA,NA,NA,NA
"Total",88554,41582,46972,85712.139,37040.363,48671.776,840.861,2023.637,-1182.776
