"auth.name","2014","2015","2016","2017","2018","transport.total"
"Cardiff",3426,3494.027,3657.781,3864.867,14187.209,22753.01
"Swansea",1951,2402,2467,2844.895,10259.129,22365.63
"Gwynedd",927,1408,1355,1382,4259,14725
"Carmarthenshire",789.824,1393.989,1327.647,920.176,3839.355,16776.27
"Conwy",659.213,1058.264,1019.329,949.307,3395.47,8053.297
"Pembrokeshire",492,583,597,597,2976,9469
"Powys",615,839,895,831.251,2542.855,12248.57
"Monmouthshire",740.696,930.895,928.622,863.961,2223.7,5618.675
"Denbighshire",484,458,658.053,464.066,1959.937,9565.399
"Neath Port Talbot",186,208.29,118.256,168.26,1825.086,13780.76
"Ceredigion",325.199,15.865,520.056,487.802,1544.205,10401.86
"Wrexham",464.7642,315.9206,136.0446,300.7016,1469.909,7849.235
"Bridgend",111.259,231.671,294.969,250.039,1415.404,12271.85
"Rhondda Cynon Taf",545.239,496.67,530.72,184.162,1393.108,18619.9
"Flintshire",-8.29910000000001,-422.852,-127.2221,-107.574,1042.53,18662.31
"Isle of Anglesey",157,186,247,288,985,8285
"Merthyr Tydfil",93.4749999999999,171.254,103.767,214.834,963.463,5227.276
"Vale of Glamorgan",151,108,132,51,908,8661.95
"Newport",64.515,137.324,9.4609999999999,305.583,830.412,11807.04
"Caerphilly",198.23,190.09,17.16,90.994,386.54,16366.66
"Torfaen",-51,-81,-72,-78,-109,7992
"Blaenau Gwent",-223.058,-310.438,-836.175,-453.064,-283.6569,5573.199
